a,b,c,d,eig1,eig2,sum_squared
-1,-8,-4,5,-4.4031242374328485,8.403124237432849,90.0
5,9,6,-9,8.148891565092221,-12.14889156509222,214.00000000000003
-10,5,1,-6,-11.0,-5.0,146.0
-6,-2,-2,-8,-4.76393202250021,-9.23606797749979,108.0
8,5,5,-8,9.433981132056605,-9.433981132056603,178.0
6,-3,-7,-5,7.658910531638178,-6.658910531638176,103.0
-8,7,3,7,-9.289197915623475,8.289197915623472,155.00000000000003
-7,-10,-7,-10,0.0,-17.0,289.0
3,10,5,9,-1.6811457478686087,13.681145747868609,190.00000000000003
-3,-4,-8,6,-5.72841614740048,8.72841614740048,109.0
-10,5,1,8,-10.273618495495704,8.273618495495704,174.0
3,-5,-5,2,7.524937810560445,-2.524937810560445,63.0
8,-3,-9,10,3.7084973778708186,14.29150262212918,217.99999999999994
6,6,1,3,7.372281323269014,1.6277186767309857,57.0
10,-5,-8,-2,12.717797887081348,-4.717797887081347,184.00000000000003
-6,6,3,10,-7.055385138137417,11.055385138137417,172.00000000000003
-8,-3,3,7,-7.37386354243376,6.37386354243376,95.0
4,-9,-1,-9,4.658910531638176,-9.658910531638176,114.99999999999997
6,-3,-10,-2,8.782329983125267,-4.782329983125269,100.0
-8,7,2,-4,-10.242640687119284,-1.7573593128807148,107.99999999999997
-7,2,9,-10,-4.0,-13.0,185.0
-3,3,5,3,-4.898979485566356,4.898979485566356,47.99999999999999
1,8,4,-9,3.54983443527075,-11.54983443527075,146.0
-9,8,6,9,-11.357816691600547,11.357816691600547,258.0
-6,-10,-3,10,-7.695359714832659,11.695359714832659,196.00000000000003
1,1,-6,-4,-0.9999999999999996,-2.0,4.999999999999999
-7,-5,2,9,-6.348469228349536,8.348469228349535,110.00000000000003
4,-8,-3,9,1.0,12.0,145.0
5,2,7,-1,6.795831523312719,-2.7958315233127196,53.99999999999999
8,6,8,-6,10.848857801796107,-8.848857801796104,196.00000000000006
5,-3,2,10,7.0,8.0,113.0
-8,1,5,8,-8.306623862918073,8.306623862918075,137.99999999999997
-6,3,-6,4,-3.6457513110645907,1.6457513110645907,16.0
6,3,9,-6,7.937253933193773,-7.937253933193771,126.00000000000001
1,5,5,10,-1.226812023536855,12.226812023536855,151.0
-4,-7,-10,-6,3.426149773176359,-13.426149773176359,192.0
-1,-6,-7,-9,2.6157731058639087,-12.615773105863909,166.0
9,-1,8,-10,8.569178573608525,-9.569178573608527,164.99999999999994
-6,2,-7,5,-4.531128874149275,3.5311288741492746,32.99999999999999
-10,8,0,-6,-10.0,-6.0,136.0
1,-8,-10,-10,6.0,-15.0,261.0
-3,-1,0,1,-3.0,1.0,10.0
2,1,3,-9,2.2662812973353983,-9.266281297335398,91.0
-3,-1,-9,8,-3.764982043070834,8.764982043070834,91.0
-2,-4,-7,10,-4.0,12.0,160.0
7,2,0,-7,7.0,-7.0,98.0
10,-7,-1,-6,10.426149773176359,-6.426149773176359,150.0
-4,-6,1,6,-3.358898943540673,5.358898943540673,39.99999999999999
2,-8,-2,6,-0.4721359549995796,8.47213595499958,72.0
6,9,5,2,11.0,-3.0,130.0
-2,8,1,-2,0.8284271247461903,-4.82842712474619,24.0
-4,3,9,8,-5.937253933193773,9.937253933193771,134.0
4,5,10,-6,7.660254037844387,-9.660254037844386,152.0
-8,1,9,10,-8.486832980505138,10.486832980505138,182.0
-7,10,5,-4,-12.72841614740048,1.7284161474004804,165.0
3,-6,-8,0,8.588723439378914,-5.588723439378912,105.00000000000001
0,7,4,1,-4.815072906367325,5.815072906367324,57.0
-2,-1,1,6,-1.872983346207417,5.872983346207417,38.00000000000001
-5,-4,3,2,-2.0,-1.0,5.0
-3,-1,-2,7,-3.196152422706632,7.196152422706632,62.0
-9,-6,-6,-5,-13.324555320336758,-0.675444679663241,178.0
-10,9,6,-4,-14.937253933193773,0.9372539331937713,224.00000000000006
2,-7,-7,-5,6.326237921249264,-9.326237921249263,126.99999999999997
8,1,-4,-1,7.531128874149275,-0.5311288741492748,57.0
8,-4,-8,2,11.403124237432849,-1.4031242374328485,132.0
2,7,9,-3,7.821658488546619,-8.821658488546618,138.99999999999997
-2,-4,-10,-8,2.0,-12.0,148.0
10,-5,1,2,9.3166247903554,2.6833752096446,94.0
2,4,10,5,-3.0,10.0,109.0
10,0,-6,-7,-7.0,10.0,149.0
-8,8,9,7,-11.824751652906123,10.824751652906125,257.0
5,0,1,-1,-1.0,5.0,26.0
5,-3,-5,1,7.358898943540673,-1.3588989435406735,55.99999999999999
10,-3,-7,-3,11.452986860293432,-4.452986860293433,151.0
7,-6,-2,-7,7.810249675906654,-7.810249675906654,121.99999999999999
6,-2,-10,10,3.1010205144336433,12.898979485566356,176.0
9,2,5,2,10.2169905660283,0.783009433971698,104.99999999999997
3,-8,-5,7,-1.6332495807107996,11.6332495807108,138.0
8,-6,4,-9,6.446221994724901,-7.446221994724902,96.99999999999999
-1,7,2,-6,1.0,-8.0,65.0
6,0,10,6,6.0,6.0,72.0
2,-10,-9,-2,9.695359714832659,-9.695359714832659,188.00000000000003
10,-6,-1,-1,10.520797289396148,-1.5207972893961479,113.00000000000001
8,6,10,3,13.639410298049855,-2.639410298049853,193.00000000000006
2,2,-7,-10,0.6904157598234288,-8.690415759823429,76.0
6,-3,-9,-3,8.37386354243376,-5.37386354243376,99.00000000000001
-4,-9,-8,7,-8.611874208078342,11.611874208078342,209.0
1,-10,1,-6,-1.0,-4.0,17.0
6,5,4,4,9.58257569495584,0.4174243050441606,92.00000000000001
-6,10,3,-9,-1.8210916541997264,-13.178908345800274,177.0
7,4,8,-9,8.797958971132715,-10.797958971132712,194.00000000000003
9,-5,-10,4,14.0,-1.0,197.0
-1,8,6,-6,3.865459931328118,-10.865459931328118,133.0
-7,-1,6,-1,-5.732050807568877,-2.267949192431123,38.0
6,9,-6,-9,0.0,-3.0,9.0
0,0,5,0,0.0,0.0,0.0
8,4,5,0,10.0,-2.0,104.0
5,-3,-7,-3,7.08276253029822,-5.082762530298219,76.0
-7,-8,-8,7,-10.63014581273465,10.63014581273465,226.00000000000003
8,8,10,-6,12.357816691600547,-10.357816691600547,260.0
7,-1,10,-5,6.0990195135927845,-4.0990195135927845,53.99999999999999
-10,-6,-2,1,-11.0,2.0,125.0
0,5,6,-7,3.0,-10.0,109.0
9,4,4,3,11.0,1.0,122.0
8,-4,-8,4,12.0,0.0,144.0
3,0,4,2,2.0,3.0,13.0
7,-5,-8,8,1.155711229775239,13.84428877022476,192.99999999999997
4,-6,-1,-4,4.690415759823429,-4.69041575982343,43.99999999999999
-8,-2,2,7,-7.72841614740048,6.72841614740048,105.00000000000001
4,-7,4,-9,1.274917217635375,-6.274917217635375,41.0
4,-3,-3,6,1.83772233983162,8.162277660168378,69.99999999999997
2,-5,-6,-10,4.124038404635959,-12.12403840463596,164.0
10,10,-5,-5,5.0,0.0,25.0
5,-7,0,-2,5.0,-2.0,29.0
-7,-5,-9,9,-9.440306508910549,11.44030650891055,220.0
6,-5,8,-9,2.5311288741492746,-5.531128874149275,36.99999999999999
4,0,-3,8,8.0,4.0,80.0
2,1,-6,-5,1.0,-4.0,17.0
-7,8,9,-10,0.11684396980704292,-17.116843969807043,293.0
9,6,1,4,10.0,3.0,109.0
-8,-10,-5,7,-10.80776406404415,9.807764064044152,213.0
-1,-6,-1,1,-2.6457513110645907,2.6457513110645907,14.000000000000002
9,-10,-6,-2,13.000000000000002,-6.0,205.00000000000006
6,-2,0,4,6.0,4.0,52.0
1,7,3,10,-0.9226162893325647,11.922616289332565,143.0
0,-2,-9,1,-3.772001872658765,4.772001872658766,37.0
-8,-8,-10,-3,-14.787087810503355,3.7870878105033547,232.99999999999997
-3,0,-2,-6,-6.0,-3.0,45.0
-6,8,3,-7,-1.5755710991019471,-11.424428900898052,133.0
-3,-4,-3,3,-4.58257569495584,4.58257569495584,42.0
8,-5,-10,4,13.348469228349536,-1.3484692283495328,180.00000000000006
-9,3,10,-3,-12.244997998398397,0.2449979983983992,149.99999999999994
-5,-5,-8,-4,-10.844288770224761,1.8442887702247592,121.00000000000001
8,-3,-1,9,6.697224362268006,10.302775637731994,151.0
-4,-7,-5,-10,-0.3667504192892004,-13.6332495807108,186.0
-6,-10,-7,-9,1.0,-16.0,257.0
-1,-6,-1,-10,-0.3765246170202019,-10.6234753829798,113.00000000000001
-5,2,4,-7,-3.0,-9.0,90.0
2,9,4,-3,6.0,-7.0,85.0
-7,-7,0,-6,-7.0,-6.0,85.0
9,0,-1,-3,-3.0,9.0,90.0
-5,-5,-3,4,-6.437171043518958,5.437171043518958,71.0
3,0,1,2,2.0,3.0,13.0
-3,0,1,1,1.0,-3.0,10.0
-6,-3,-1,6,-6.2449979983983965,6.244997998398398,77.99999999999997
-2,8,3,-3,2.424428900898053,-7.424428900898052,61.0
-2,0,-10,3,3.0,-2.0,13.0
-6,10,3,-7,-1.0,-12.0,145.0
-10,8,-3,4,-8.0,2.0,68.0
-2,-1,9,10,-1.196152422706632,9.196152422706632,86.0
-5,-9,-4,7,-7.485281374238571,9.48528137423857,146.0
-9,6,0,1,-9.0,1.0,82.0
8,-4,9,-5,4.0,-1.0,17.0
7,10,6,-4,11.000000000000002,-8.0,185.00000000000006
9,-3,6,-4,7.424428900898052,-2.4244289008980524,61.0
-10,2,8,8,-10.848857801796107,8.848857801796104,196.00000000000006
6,2,5,-3,7.0,-4.0,65.0
8,4,7,-9,9.512492197250396,-10.512492197250392,201.00000000000003
-7,-10,-3,-4,-11.178908345800274,0.1789083458002736,124.99999999999999
-8,-1,-1,8,-8.06225774829855,8.06225774829855,129.99999999999997
3,-9,-10,7,-4.695359714832659,14.695359714832659,238.00000000000003
-4,-3,-10,-8,-0.16904810515469926,-11.830951894845299,139.99999999999994
-9,-8,3,3,-6.4641016151377535,0.4641016151377544,41.999999999999986
-6,10,3,5,-8.262087348130013,7.262087348130011,121.0
7,-4,-1,-4,7.352349955359813,-4.352349955359813,73.0
-10,10,8,5,-14.17261752992875,9.172617529928752,284.99999999999994
8,-7,7,-9,4.3218253804964775,-5.3218253804964775,47.0
-10,4,-6,9,-8.639410298049853,7.639410298049853,133.0
0,-1,-9,-8,1.0,-9.0,82.0
-5,-2,-9,10,-6.116843969807043,11.116843969807043,161.0
7,8,6,3,12.21110255092798,-2.2111025509279782,154.00000000000003
-2,-3,-9,2,-5.5677643628300215,5.567764362830022,62.0
-4,-2,0,3,-4.0,3.0,25.0
-1,-7,-2,-5,1.2426406871192848,-7.242640687119286,54.00000000000001
1,10,-1,10,2.2984378812835757,8.701562118716424,81.0
-5,-3,-9,1,-8.0,4.0,80.0
2,6,10,3,-5.262087348130013,10.262087348130011,133.0
-9,0,-10,8,8.0,-9.0,145.0
0,-3,0,-7,0.0,-7.0,49.0
6,-4,-3,-8,6.810249675906654,-8.810249675906654,124.0
-7,4,9,8,-9.104686356149273,10.104686356149273,185.0
-8,9,0,6,-8.0,6.0,100.0
2,0,-9,-2,-2.0,2.0,8.0
-3,-1,-4,-8,-2.2984378812835757,-8.701562118716424,81.0
4,1,5,8,3.0,9.0,90.0
-3,10,6,-6,3.3898669190297497,-12.38986691902975,165.0
5,-5,-3,7,2.0,10.0,104.0
4,-1,5,-4,3.3166247903554,-3.3166247903554,22.0
7,9,-4,-8,4.0,-5.0,41.0
7,-1,-4,6,8.56155281280883,4.438447187191169,93.0
-9,-8,-6,0,-12.761355820929154,3.761355820929152,177.00000000000003
-3,1,-4,4,-2.3722813232690143,3.3722813232690143,17.0
-10,5,2,-1,-11.0,0.0,121.0
1,-9,-8,-1,8.54400374531753,-8.544003745317532,146.0
-9,2,2,7,-9.246211251235323,7.246211251235321,138.00000000000003
-8,-4,3,9,-7.2620873481300094,8.262087348130011,120.99999999999994
6,10,1,5,8.701562118716424,2.2984378812835757,81.0
1,4,-1,-4,0.0,-3.0,9.0
9,-6,-10,6,15.38986691902975,-0.38986691902975057,237.0
-8,2,3,7,-8.38986691902975,7.38986691902975,124.99999999999999
-10,10,3,4,-11.88819441731559,5.888194417315589,176.00000000000003
-2,4,6,-7,1.0,-10.0,101.0
1,-6,-6,0,6.520797289396147,-5.520797289396148,72.99999999999999
2,-9,-4,9,-1.4462219947249029,12.446221994724901,156.99999999999997
-7,-3,9,10,-5.226812023536855,8.226812023536855,95.0
8,2,3,-1,8.623475382979798,-1.6234753829797992,76.99999999999999
0,-9,-2,6,-2.196152422706632,8.196152422706632,72.0
-8,-5,-6,-6,-12.567764362830022,-1.4322356371699776,160.0
4,6,-2,-8,2.8989794855663558,-6.898979485566356,55.999999999999986
9,6,-1,-8,8.639410298049853,-7.639410298049853,133.0
7,7,6,-8,9.412113800799503,-10.412113800799505,196.99999999999997
-8,-5,2,4,-7.0990195135927845,3.099019513592785,60.0
-9,0,-2,-8,-8.0,-9.0,145.0
-2,-8,-9,1,-9.116843969807043,8.116843969807043,149.0
-6,0,-9,4,4.0,-6.0,52.0
-5,-3,-6,5,-6.557438524302,6.557438524302,85.99999999999999
7,-5,-6,5,11.567764362830022,0.4322356371699776,134.00000000000003
-8,-3,-9,-3,-11.266281297335398,0.2662812973353974,127.00000000000001
8,5,-3,-10,7.124038404635961,-9.12403840463596,134.00000000000003
5,-2,2,0,4.0,1.0,17.0
2,10,-1,-7,0.7015621187164243,-5.701562118716424,33.0
-5,-4,-6,0,-8.0,3.0,73.0
1,-4,-9,2,-4.520797289396147,7.520797289396149,77.0
-1,-2,-9,4,-3.424428900898052,6.424428900898052,52.99999999999999
6,-1,-10,7,3.2984378812835757,9.701562118716424,105.0
7,3,4,1,8.582575694955839,-0.5825756949558398,73.99999999999997
-4,0,-10,-5,-5.0,-4.0,41.0
4,4,8,0,8.0,-4.0,80.0
6,-8,2,-2,1.9999999999999998,1.9999999999999998,7.999999999999998
-4,4,0,9,-4.0,9.0,97.0
-9,4,3,9,-9.643650760992955,9.643650760992955,186.0
10,4,5,-6,11.165151389911681,-7.16515138991168,176.00000000000003
9,-5,8,-6,5.531128874149275,-2.5311288741492746,36.99999999999999
-8,-10,-5,4,-11.273618495495704,7.273618495495704,180.0
7,4,1,5,8.23606797749979,3.76393202250021,82.0
-3,3,6,10,-4.262087348130013,11.262087348130011,145.0
-3,4,3,7,-4.0827625302982185,8.08276253029822,82.0
9,-4,-8,1,11.928203230275509,-1.9282032302755092,146.0
-5,5,10,10,-7.80776406404415,12.807764064044152,225.0
-9,-3,0,2,-9.0,2.0,85.0
7,3,4,-5,7.928203230275509,-5.928203230275509,98.0
-2,-3,0,8,-2.0,8.0,68.0
-2,6,1,3,-3.0,4.0,25.0
4,5,9,-10,6.695359714832659,-12.695359714832659,206.00000000000003
-9,-10,-10,-2,-16.094810050208544,5.094810050208546,284.99999999999994
-4,-9,-5,-4,2.7082039324993694,-10.70820393249937,122.0
3,7,4,-9,5.0,-11.0,146.0
-1,1,6,-3,0.6457513110645907,-4.645751311064591,22.0
0,-8,-5,-2,5.403124237432849,-7.4031242374328485,84.0
-5,-2,-4,-2,-6.701562118716424,-0.29843788128357573,45.0
7,1,-3,-3,6.690415759823431,-2.6904157598234297,52.000000000000014
7,9,4,-4,9.639410298049853,-6.639410298049853,137.0
0,9,5,-7,4.066372975210779,-11.066372975210777,139.0
-5,-8,-2,-1,-7.47213595499958,1.4721359549995792,58.0
3,0,7,1,1.0,3.0,10.0
1,2,2,8,0.46887112585072543,8.531128874149275,73.0
-3,10,8,1,-10.165151389911681,8.165151389911678,170.0
-6,-2,-8,-1,-8.2169905660283,1.216990566028302,68.99999999999997
8,-8,4,-10,6.0,-8.0,100.0
-4,1,6,10,-4.416198487095663,10.416198487095663,128.0
9,-6,-7,1,12.615773105863909,-2.6157731058639078,166.0
9,7,6,8,15.0,2.0,229.0
-7,-5,-4,-1,-9.385164807134505,1.3851648071345037,90.0
8,8,1,-8,8.485281374238571,-8.48528137423857,144.0
4,-10,-8,-3,10.104686356149273,-9.104686356149273,185.0
-7,5,-1,1,-6.3166247903554,0.3166247903553998,39.99999999999999
-9,-4,-5,6,-10.23212459828649,7.23212459828649,157.0
-9,-8,-6,-6,-14.588723439378914,-0.4112765606210882,213.00000000000003
2,4,0,-1,2.0,-1.0,5.0
-8,3,5,-1,-9.720153254455274,0.7201532544552753,94.99999999999999
-1,1,-2,-10,-1.227998127341234,-9.772001872658766,97.00000000000001
-6,6,6,1,-9.446221994724901,4.446221994724903,108.99999999999997
9,7,3,-9,10.099504938362081,-10.099504938362077,204.00000000000006
-8,-5,-6,10,-9.535653752852738,11.535653752852738,224.0
3,1,-1,9,3.17157287525381,8.82842712474619,87.99999999999999
10,7,0,-9,10.0,-9.0,181.0
2,9,5,7,-2.6589105316381776,11.658910531638176,143.0
-1,-3,7,10,1.4586187348508908,7.541381265149109,58.99999999999999
-10,-3,-5,-6,-12.358898943540673,-3.6411010564593265,166.0
4,4,-9,-10,0.6055512754639896,-6.60555127546399,44.00000000000001
0,-1,7,7,1.2087121525220805,5.7912878474779195,34.99999999999999
6,-3,4,-3,4.372281323269014,-1.3722813232690143,21.0
-7,-10,-10,8,-12.0,13.0,313.0
5,3,10,5,10.477225575051662,-0.4772255750516612,110.00000000000003
-6,-2,-9,7,-7.262087348130013,8.262087348130011,121.0
-5,-2,-10,-2,-8.2169905660283,1.216990566028302,68.99999999999997
5,2,-2,10,6.0,9.0,117.0
2,-2,0,-7,2.0,-7.0,53.0
2,0,-10,-4,-4.0,2.0,20.0
-4,4,10,8,-6.717797887081348,10.717797887081346,160.0
-10,6,6,-8,-15.082762530298218,-2.9172374697017798,235.99999999999997
1,-5,0,-8,1.0,-8.0,65.0
-3,3,3,-1,-5.16227766016838,1.162277660168379,28.000000000000007
10,-3,5,-9,9.174675786448734,-8.174675786448736,150.99999999999994
-5,10,1,-6,-2.2984378812835757,-8.701562118716424,81.0
-9,5,-6,4,-6.0,1.0,37.0
1,0,2,10,10.0,1.0,101.0
0,5,4,10,-1.7082039324993694,11.70820393249937,140.0
4,-7,0,8,4.0,8.0,80.0
8,-9,3,-7,5.9083269131959835,-4.9083269131959835,58.999999999999986
5,10,9,3,13.539392014169458,-5.539392014169454,214.00000000000003
4,-8,-3,5,-0.42442890089805285,9.424428900898052,89.0
-1,4,2,10,-1.6846584384264922,10.68465843842649,116.99999999999999
-6,-7,7,8,1.0000000965705618,0.9999999034294382,2.0000000000000187
-7,-4,-1,7,-7.280109889280517,7.280109889280518,105.99999999999999
8,-7,-1,-10,8.380831519646861,-10.38083151964686,178.00000000000006
10,6,5,-6,11.695359714832659,-7.695359714832658,196.0
4,-8,-4,0,8.0,-4.0,80.0
-9,-8,-4,10,-10.556672193747989,11.55667219374799,245.0
7,-8,-1,-4,7.684658438426492,-4.68465843842649,81.00000000000001
-2,6,0,-4,-2.0,-4.0,20.0
-7,-3,-6,-10,-4.0,-13.0,185.0
-7,-8,-2,-3,-9.47213595499958,-0.5278640450004208,90.0
-10,-5,-2,-4,-11.358898943540673,-2.6411010564593265,135.99999999999997
-7,2,6,-9,-4.394448724536011,-11.60555127546399,154.0
-6,1,10,-3,-8.0,-1.0,65.0
1,-8,-5,-9,4.062257748298549,-12.06225774829855,162.0
1,-9,-5,6,-3.6589105316381776,10.658910531638176,127.0
1,-7,-6,2,-5.0,8.0,89.0
1,6,5,1,6.477225575051661,-4.47722557505166,61.99999999999999
9,-3,1,-10,8.840770846134703,-9.840770846134703,175.00000000000003
-3,-4,-10,10,-5.569178573608529,12.569178573608527,189.0
7,2,-9,-2,4.0,1.0,17.0
10,-9,-2,-10,10.862780491200215,-10.862780491200215,236.0
7,-5,-8,0,10.72841614740048,-3.72841614740048,129.0
1,4,6,-1,5.0,-5.0,50.0
-5,7,2,-8,-2.4688711258507254,-10.531128874149275,117.0
-2,4,10,-8,2.0,-12.0,148.0
-9,-9,-8,7,-12.661903789690601,10.661903789690601,274.0
3,9,7,-1,9.18535277187245,-7.18535277187245,136.0
-9,-10,-7,3,-13.295630140987,7.295630140987,230.0
-10,3,5,3,-11.06637297521078,4.066372975210777,139.0
9,-8,-8,-2,13.208243919473801,-6.208243919473799,213.00000000000003
-5,2,10,-9,-2.1010205144336433,-11.898979485566356,146.0
2,3,9,7,-1.2662812973353965,10.266281297335398,107.0
-5,0,-9,8,8.0,-5.0,89.0
8,-6,8,-9,4.424428900898054,-5.424428900898053,49.000000000000014
-1,-9,0,7,-1.0,7.0,50.0
-8,10,-2,3,-5.701562118716424,0.7015621187164243,33.0
-10,-7,-7,-4,-14.615773105863909,0.6157731058639078,214.0
-4,7,-6,9,2.000000000000001,2.9999999999999982,12.999999999999993
-6,-6,-9,10,-8.862780491200215,12.862780491200215,244.0
-5,4,10,-1,-9.6332495807108,3.6332495807107996,105.99999999999999
-4,-6,-10,2,-9.306623862918075,7.306623862918075,140.0
10,7,2,10,13.74165738677394,6.258342613226059,227.99999999999997
0,10,9,10,-5.7238052947636096,15.723805294763608,280.0
7,-3,-8,-2,9.152067347825035,-4.152067347825035,101.0
9,-5,-1,10,7.20871215252208,11.79128784747792,190.99999999999997
-1,2,6,-2,2.0,-5.0,29.0
6,-2,-2,-10,6.246211251235323,-10.246211251235321,144.00000000000003
-9,-3,-3,6,-9.577747210701755,6.577747210701756,134.99999999999997
4,6,2,8,2.0,10.0,104.0
-10,2,8,-8,-13.123105625617661,-4.876894374382339,196.00000000000003
9,4,8,-4,11.116843969807045,-6.116843969807043,161.00000000000003
8,8,0,-6,8.0,-6.0,100.0
-6,-3,-1,-5,-7.302775637731994,-3.697224362268005,66.99999999999999
4,5,6,-3,7.0,-6.0,85.0
-3,-2,-9,4,-5.0,6.0,61.0
7,-8,6,-7,1.0,-1.0,2.0
-7,3,-2,-2,-5.0,-4.0,41.0
7,-1,10,-7,6.244997998398398,-6.244997998398398,78.0
1,-3,-9,2,-3.7201532544552744,6.720153254455275,59.0
-1,4,6,-3,3.0,-7.0,58.0
7,-2,-3,3,8.162277660168378,1.8377223398316207,69.99999999999997
7,9,9,10,-0.6241437954473295,17.62414379544733,311.00000000000006
1,8,3,6,-2.0,9.0,85.0
10,-8,-4,6,14.0,2.0,200.0
1,-2,4,7,3.0,5.0,34.0
10,2,10,-3,11.38986691902975,-4.38986691902975,149.0
3,-3,3,-4,1.3027756377319948,-2.302775637731995,7.000000000000002
1,0,0,2,1.0,2.0,5.0
9,7,4,8,13.815072906367325,3.184927093632676,201.00000000000003
1,2,0,-6,1.0,-6.0,37.0
-10,-7,-3,-8,-13.69041575982343,-4.30958424017657,206.00000000000003
-1,-9,0,-1,-1.0,-1.0,2.0
10,3,-4,-9,9.345903006477066,-8.345903006477066,157.0
-2,5,2,-2,1.1622776601683795,-5.162277660168379,28.0
9,-7,-1,1,9.79583152331272,0.20416847668728044,95.99999999999999
6,3,3,-9,6.577747210701755,-9.577747210701755,134.99999999999997
10,9,0,5,10.0,5.0,125.0
8,-5,8,-6,4.0,-2.0,20.0
-7,4,-7,9,-5.0,7.0,74.0
-1,-8,-6,-5,4.211102550927979,-10.21110255092798,122.00000000000001
10,-3,-4,10,13.464101615137753,6.535898384862245,223.99999999999994
2,9,6,-4,6.937253933193773,-8.937253933193771,128.0
7,8,8,6,14.5156097709407,-1.5156097709406984,213.0
3,8,2,1,6.123105625617661,-2.1231056256176606,42.0
-10,7,9,6,-13.269427669584644,9.269427669584644,261.99999999999994
4,0,2,-10,-10.0,4.0,116.0
6,-5,-7,9,1.396722192133148,13.603277807866851,187.0
5,4,4,-5,6.4031242374328485,-6.4031242374328485,82.0
4,3,0,-4,4.0,-4.0,32.0
-2,5,-6,9,3.0000000000000036,3.9999999999999964,24.999999999999993
0,6,2,-5,1.7720018726587652,-6.772001872658766,49.00000000000001
6,2,8,10,3.5278640450004204,12.47213595499958,168.0
8,-1,-8,3,9.274917217635375,1.725082782364625,89.0
8,-6,-6,9,2.479202710603853,14.520797289396148,217.0
6,10,-1,-6,5.0990195135927845,-5.0990195135927845,51.99999999999999
-7,-5,-7,-4,-11.603277807866853,0.603277807866851,135.00000000000003
-7,-5,-2,3,-7.916079783099617,3.916079783099616,78.00000000000001
1,-1,-4,-8,1.424428900898052,-8.424428900898052,73.0
9,7,0,10,9.0,10.0,181.0
-5,4,7,0,-8.352349955359813,3.3523499553598124,81.0
9,4,5,-4,10.38986691902975,-5.38986691902975,137.0
10,-1,1,3,9.854101966249685,3.1458980337503153,107.0
-6,10,7,-6,2.3666002653407556,-14.366600265340756,212.0
-8,-6,6,8,-5.291502622129181,5.291502622129181,56.00000000000001
8,10,1,-2,8.916079783099617,-2.916079783099616,88.00000000000001
-10,7,10,-7,-17.0,0.0,289.0
-1,-4,-10,6,-4.72841614740048,9.72841614740048,117.0
-9,0,-2,-4,-4.0,-9.0,97.0
3,-5,-9,-10,5.840770846134703,-12.840770846134703,199.00000000000003
5,-9,-1,-9,5.615773105863909,-9.615773105863909,124.0
5,5,8,-4,8.262087348130013,-7.262087348130011,121.0
-4,10,9,-7,4.104686356149273,-15.104686356149273,245.0
3,9,4,-3,6.708203932499369,-6.708203932499369,90.00000000000001
10,4,9,3,13.446221994724903,-0.446221994724902,181.00000000000003
-4,9,7,0,-10.18535277187245,6.18535277187245,142.0
1,-1,-3,-2,1.79128784747792,-2.79128784747792,11.0
-2,4,4,5,-3.815072906367325,6.815072906367325,61.00000000000001
