a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,eig1,eig2,eig3,eig4,sum_squared
8,6,-5,5,1,8,-6,6,-10,-1,4,10,10,0,2,-6,-11.018792753573639,16.947322786793983,2.852488833661447,5.218981133118211,444.00000000000057
10,-1,4,-2,-9,-6,-5,-4,10,-10,-4,9,1,5,5,0,14.448391860897184,-12.273650922612983,-5.224804250453725,3.0500633121695153,396.0000000000003
-3,1,2,0,1,-10,6,5,0,2,7,0,1,-5,-2,5,-9.142423780712656,-2.9584841716956864,3.961683990371696,7.139223962036647,158.99999999999986
-7,-8,5,1,0,-6,7,8,-5,7,-5,-7,1,8,-9,6,-14.490695941390737,-10.791134402554615,2.4357016935931646,10.8461286503522,449.99999999999915
0,8,10,-8,1,8,8,2,-4,4,-4,-3,-6,10,3,-7,9.734226884455907,2.9931388289189296,-10.995050830244256,-4.732314883130562,247.00000000000028
-4,6,-2,-7,8,-10,-1,-7,-2,2,3,-1,-5,5,-5,6,-14.083629395098704,7.56627269327592,3.428108525332141,-1.9107518235093506,271.0000000000004
6,-1,10,7,-4,-8,2,4,9,8,-8,-7,-6,-10,-7,1,-15.800898925830957,6.833407069686193,3.3479406731732193,-3.3804488170284515,318.9999999999997
7,6,-4,2,7,3,7,2,0,10,10,5,6,-3,8,9,-6.908346459681486,18.881021649472732,10.21907666108047,6.808248149128309,555.0000000000003
4,-2,9,-1,1,10,9,-10,9,-2,4,-10,1,-8,0,-9,13.78376434747176,12.382162556643362,-7.49775204511547,-9.668174858999647,493.00000000000057
5,-2,4,1,-10,2,3,-3,-3,1,-10,0,-3,-1,8,0,-9.843341838587836,7.081651597066097,-1.5210172719125479,1.2827075134342953,150.99999999999966
-8,8,0,6,10,8,-9,-3,8,-4,6,-5,8,-5,-9,-5,-20.134701098083905,0.1366529736585497,8.141469700403835,12.856578424021512,637.0000000000001
6,4,-8,1,-2,10,1,4,-9,7,9,1,-7,5,5,-10,17.31980379025339,-10.846766738953544,-0.26517723511362734,8.792140183813773,494.99999999999994
3,3,2,-4,1,4,8,0,4,1,-8,6,-8,8,9,-7,-15.155894338585037,-5.7608532894355005,5.539066593256706,7.377681034763831,348.00000000000017
-7,10,-3,-6,5,-7,4,1,-6,5,3,-1,-4,2,9,-6,-16.52093633863074,6.103165976333724,-0.03941110706400427,-6.542818530638974,353.0
8,8,-5,-5,9,4,4,9,-2,-7,7,7,-6,9,0,-6,-13.197943752865365,15.632436730343878,2.071349359917986,8.494157662603511,495.00000000000085
-3,-10,9,1,0,-4,4,0,5,-8,9,3,-8,-10,10,4,-8.219122996836976,0.6470067940588349,2.7906713703922548,10.781444832385887,192.00000000000006
8,-3,9,-3,-1,5,8,0,2,-2,9,8,5,-4,8,1,14.169883453601559,7.272207649141624,4.2514073822935154,-2.6934984850366956,278.99999999999994
-8,-3,-3,9,4,-4,0,-4,-7,1,-5,3,1,0,8,10,-13.167734225848774,10.08515629290213,-0.1941572543194432,-3.7232648127339125,289.0
-6,3,10,5,2,9,-7,0,6,-4,3,0,-2,2,7,0,-9.30251385832187,-3.542521873532633,6.4775145701875,12.367521161667003,294.0000000000001
7,-2,-5,0,-5,-5,2,0,3,-9,-3,-8,10,-8,-10,8,14.863486094003049,0.678028126182413,-3.018094664206441,-5.523419555979035,260.9999999999995
-6,5,-8,9,4,-8,9,3,5,6,9,7,7,3,7,4,16.52140774337107,2.94736758243117,-13.051365550835877,-7.417409774966373,506.99999999999994
-7,-9,-5,3,-10,7,-4,-10,-10,-10,-7,-7,7,0,-10,-1,-20.28141064315905,-8.188897379909557,11.257305356788812,9.2130026662798,689.9999999999995
10,-4,1,4,-9,3,2,-7,3,3,5,-4,8,-9,-1,7,20.069413681828095,7.5639325108660165,0.6247572208967253,-3.2581034135908453,470.99999999999955
-3,0,10,10,7,-1,2,6,7,-1,5,9,-6,2,7,6,13.967965757698611,-6.329549254049665,-1.2216912201546932,0.5832747165057328,236.9999999999995
4,-3,5,8,0,-9,6,5,4,2,4,-7,5,1,-7,-8,-16.63033733561609,-6.786797493506196,8.31409252626283,6.103042302859464,429.0
-4,7,5,3,7,-4,6,7,1,-3,-9,-4,-7,7,-5,-2,3.3518855263680325,0.6942406376164294,-13.487869404770889,-9.55825675921358,285.0000000000002
-9,-1,4,1,6,-7,-4,-2,8,-4,-9,-5,7,-5,2,8,-16.601499028077235,7.685836894393969,-5.72143691134729,-2.362900954969444,372.99999999999966
-4,2,-9,-7,-1,-4,6,9,-5,8,-6,-1,-2,2,8,10,14.526907275418136,-12.87469266078575,-1.2078537924457162,-4.444360822186683,398.0000000000001
-5,-7,-8,-8,-7,-6,-3,5,-8,1,-3,2,-7,3,3,2,12.462273962284316,-16.011429321233333,-4.781062134852117,-3.6697825061988754,448.0000000000001
10,-7,2,-10,-8,5,-7,5,8,-10,-6,8,0,2,9,-6,-18.26525849968364,16.90429883036223,5.019143990106441,-0.6581843207850377,645.0000000000002
-8,-2,-9,-8,3,-7,8,2,-4,1,-8,-2,-9,-2,1,1,6.214778051115948,-15.53654946245161,-9.918459520972723,-2.759769067691614,385.99999999999983
-3,9,3,1,10,7,0,-3,-9,4,-2,8,9,-3,8,-6,-12.775391819730714,-7.413657426344774,12.498181607365177,3.6908676387103188,387.9999999999998
8,-5,7,-6,-5,-9,-3,4,4,0,-10,7,1,1,0,-3,10.556364826620715,-10.37550640969245,-11.354444667467167,-2.8264137494610804,356.00000000000034
-4,4,10,9,7,-8,3,-9,3,0,5,-3,-4,0,-8,6,-10.965795052500726,9.979607811895052,-2.5719279576914875,2.558115198297166,233.00000000000017
-4,-1,5,-3,-2,-2,-9,2,2,-7,1,6,-9,2,7,4,-12.602669462350871,-5.311907315418356,7.2521101220691975,9.66246665570004,332.9999999999999
8,8,4,-5,5,-3,5,7,9,5,0,-4,6,6,1,2,13.306333606034897,5.884164391492336,-3.972282363964284,-8.21821563356295,295.00000000000017
2,-9,-4,4,0,-9,-4,-7,0,-9,5,-4,2,-6,6,10,-11.559173111760852,0.12289198568802936,12.114586110751997,7.3216950153208185,334.00000000000034
-7,-3,2,-7,-2,-2,7,1,-1,0,-4,-2,-5,8,5,4,7.084493449324271,-1.637271715456011,-8.163873059748298,-6.283348674119973,159.00000000000003
-10,2,-10,-6,5,4,6,5,2,0,6,6,-9,2,3,0,-12.233956138379911,10.885892055448892,-2.994689328130894,4.342753411061918,295.9999999999998
-2,-9,-6,-10,-7,-7,-8,-2,1,-1,-9,0,-1,-5,7,-9,1.195702493086866,-1.3218945529601256,-16.6557635303324,-10.218044409794343,385.00000000000006
-8,-1,4,0,3,-5,1,2,6,5,-8,-9,0,-2,-8,7,10.800003535056861,-14.81106172749218,-3.5621834099951353,-6.426758397569537,389.9999999999995
6,3,8,-2,10,1,-6,0,9,-8,10,4,3,0,9,-3,-10.545683159286195,-2.1055627749219217,17.521496963185694,9.129748971022407,505.9999999999996
-7,1,-3,-5,4,1,5,5,10,9,9,-7,0,2,-2,-7,11.744126574028742,-8.927817212348215,-6.953470899390021,0.1371615377094945,265.99999999999983
7,3,-10,2,4,-4,4,9,-1,3,-5,3,1,0,9,8,-8.731785226522998,-4.2714868039419915,11.074555801759654,7.928716228705343,279.9999999999998
-8,6,8,0,7,-9,-2,6,3,-7,6,6,1,9,7,-8,-21.134493835401507,-8.070679570536305,1.032911072867999,9.172262333069797,597.0000000000008
-3,4,-6,-7,10,9,8,10,-7,4,6,1,-8,-1,4,-1,-12.651963336273976,13.66326299962003,10.396016611798784,-0.40731627514483143,455.0000000000008
-10,5,-8,10,-2,-7,10,-6,0,10,-2,-8,-5,0,-2,4,7.187248781302365,-1.0743846967124786,-8.926610341624162,-12.186253742965743,281.00000000000034
-9,-6,6,-7,6,-2,9,-9,7,10,0,2,-3,-10,6,1,-17.45646157152105,-8.42801289113748,11.265058595125716,4.619415867532802,524.0000000000002
2,3,3,-1,5,-6,-5,-9,2,2,8,7,8,-10,-3,5,-10.568859344490349,10.95439170659446,2.8587884190975594,5.7556792187983365,272.9999999999998
5,4,5,0,-5,0,-8,4,-10,-4,-10,6,-2,2,0,9,-7.6125057197579995,8.679213111139166,-0.5850497835886875,3.518342392207523,145.99999999999997
6,6,6,1,2,1,3,-1,8,-9,-7,8,-4,4,4,-5,9.39393116657265,-11.342010116122225,-2.8404476332610296,-0.21147341718939947,224.9999999999998
-3,6,3,10,10,-4,4,5,8,-5,-10,1,7,5,1,9,17.00515533467731,-12.237365097803128,-4.716059134271223,-8.051731102602933,526.0000000000008
3,10,-3,-8,7,-8,2,1,4,7,-6,-4,0,0,4,-1,-13.268103868032345,3.6487031020968232,2.6704489543745975,-5.051048188439089,222.00000000000006
-7,-10,2,-7,0,8,0,1,0,-5,1,-2,-1,-8,-8,9,-7.388660650448435,-0.05106708918720346,9.663319836613303,8.776407903022326,225.00000000000006
-1,4,-3,2,1,-3,4,1,0,8,3,7,2,-7,6,8,-8.596850452038403,12.056767574096522,-0.16159317686001298,3.701676054801904,232.99999999999974
-5,-6,6,-4,-5,-9,0,-4,10,-3,-6,7,5,3,1,6,6.933661056038157,1.4980424343471932,-12.960780466457779,-9.470923023927568,307.9999999999999
1,1,-9,-6,-9,9,2,-8,0,5,-10,8,0,-2,3,-2,-12.16485025185848,10.426944861954325,-2.5039034325135785,2.2418088224177337,268.0000000000003
10,1,-10,-7,-3,-10,4,7,-10,0,-9,-10,1,5,-1,7,-15.487629807446702,-9.32342118999646,13.958476385189648,8.852574612253534,599.9999999999994
-7,-4,-9,-4,-2,-6,4,7,-7,8,9,-4,-3,6,2,10,15.134601596740184,11.236872164514518,-10.9532220151946,-9.418251746060113,563.9999999999997
7,3,10,-8,8,-3,-7,-7,8,0,-10,-3,4,-10,-4,10,-15.043911302592585,15.088396460093104,9.195720296887133,-5.240205454387659,565.9999999999992
-6,-3,3,-6,-3,-5,5,-7,1,0,-8,1,-6,-5,8,7,10.874759505747264,-13.770765984749168,-2.7265843591158934,-6.377409161882206,355.9999999999997
-4,1,-6,7,-7,-9,-8,1,-8,-7,-5,1,8,-1,-10,6,11.645263290497612,-14.937075590677976,-9.116202058766243,0.4080143589465903,441.99999999999955
-8,-3,7,6,0,-9,10,8,-4,7,-3,3,-4,10,-7,6,-12.81243810686772,-10.645395900166747,8.029800509041747,1.4280334979927536,343.9999999999996
4,3,9,-1,10,1,-10,10,6,-2,8,7,-4,-2,10,1,-10.512029941996731,15.531032115759002,6.216057799448629,2.764940026789109,398.0
5,-7,1,-10,-10,-4,7,4,2,5,-4,5,2,3,6,1,-12.919496164709845,11.285470515935176,-3.4737169936870615,3.1077426424617376,315.9999999999999
-9,10,8,-7,9,-4,-4,6,8,5,-8,4,3,4,3,-4,-19.712816236548917,5.2944795956923745,-4.198228798436412,-6.383434560707044,474.9999999999995
-7,-9,2,5,-9,8,6,-6,7,10,7,-3,4,2,2,5,-13.938342857767982,14.33124548314079,9.610250153624015,2.996847221003225,501.0000000000002
2,-4,5,-10,2,-10,0,-5,9,-8,1,-6,-2,1,-1,8,12.295741867267079,3.490083027487641,-9.875224221269155,-4.910600673485585,284.9999999999999
9,3,-3,-8,-6,-5,-3,-5,-5,-7,-4,8,-4,-8,-3,-10,-14.737408564408675,-7.257173277825157,8.467840256415833,3.526741585817999,354.0000000000003
4,-8,3,-9,-7,8,1,-9,6,-8,-1,5,-2,0,10,4,15.697050090974319,7.79058186807256,-7.5521013709448965,-0.9355305881019774,365.0
-8,4,-9,2,-3,6,-7,8,-2,4,-2,10,-2,3,10,5,13.949114915015198,2.642932225335038,-8.765852247451042,-6.82619489289921,324.9999999999996
-3,-3,8,-5,1,-4,5,-2,10,-1,-1,-1,9,5,-10,6,-7.912218614169598,-2.7889113934229237,2.3802936853339554,6.320836322258567,115.99999999999997
6,-10,-6,-5,-9,5,-6,-6,1,-8,5,-5,4,4,5,9,15.165973416839922,7.747034159944613,0.4114584923708312,1.675533930844629,292.99999999999966
2,1,-1,3,-9,-8,-2,0,0,-1,3,-2,9,10,-1,-2,-10.237744047153436,-0.8790999226536081,2.463489183873699,3.6533547859333497,125.0
3,-2,4,-4,3,-5,10,4,9,-3,-9,-3,-10,6,8,-6,3.0000000000000044,0.6792988791818546,-12.304573352300572,-8.3747255268813,231.00000000000034
4,-2,-1,9,9,-7,-5,-7,-6,-2,1,-3,10,-6,0,0,-13.459662080491782,-3.9744350871180103,9.945914296184972,5.488182871424811,326.0000000000004
9,1,-5,-1,9,-2,-9,-4,-2,1,-6,-10,4,-3,-10,7,13.366394681636177,8.981849232784203,-2.4981287012050264,-11.850115213215346,406.0000000000002
-6,4,7,7,10,10,-5,-9,6,10,-7,1,8,-9,-9,3,16.467864733074578,4.56157680806065,-11.179078502256353,-9.8503630388789,513.9999999999999
6,-10,-4,2,-8,8,4,-6,0,7,-8,-5,-8,-6,-2,8,-9.45920703008017,-4.374446994525606,11.912897413559348,15.920756611046432,503.9999999999999
-4,4,2,5,1,-4,5,2,-8,4,-8,-4,7,3,7,8,-11.447435480643865,-3.865685942440734,-0.1691301173487736,7.482251540433375,201.99999999999994
-8,6,9,4,10,6,-3,-9,6,7,-6,-2,-2,-9,-9,8,18.226431649604223,-14.910762930801228,0.33835057909053545,-3.654019297893544,567.9999999999998
4,-8,4,-5,-10,3,5,-10,10,6,-3,7,5,-5,-1,-1,13.6768109476872,-12.295345895638757,4.775341346141593,-3.1568063981900316,371.00000000000017
-10,7,-3,0,4,5,6,6,1,-1,9,-5,-3,2,-9,8,-11.95687499084492,15.199926011929666,6.575439666185352,2.181509312729916,421.9999999999999
-3,-3,0,3,-1,4,-4,-4,-1,-7,7,-1,8,3,2,4,-4.291108536781223,-0.03711294268273338,4.979805335579079,11.348416143884874,171.99999999999994
-6,1,9,-2,-4,8,9,0,10,1,-8,6,-4,-1,4,-9,-19.74408379754441,-5.683545843717325,1.8596583193441116,8.56797132191761,499.00000000000057
-4,-8,-10,1,4,0,-1,-9,-7,6,6,-3,3,-7,-5,8,16.60859570572404,3.5577301931183074,-6.037105666790291,-4.129220232052055,342.00000000000006
-7,-8,9,-5,-4,3,1,5,9,-3,-9,2,-3,10,9,5,-18.858567604517745,-5.221523617863372,3.692319070003746,12.387772152377364,550.0000000000006
-6,0,-1,6,-7,10,7,7,-10,3,-3,-9,8,4,-9,-7,10.924696521042787,9.166996565142068,-9.424454832302585,-16.667238253882285,569.9999999999993
-1,-4,-7,5,3,5,-2,-7,-5,-10,-4,-10,8,-3,-8,-10,-17.81814101048143,-7.971129063746513,9.36508184697152,6.424188227256435,510.0000000000003
-10,-4,-2,0,5,8,-9,4,-8,-7,9,-4,1,-7,-1,-5,14.503919784240656,-10.467965636871323,1.9808103206214176,-4.016764467990756,339.9999999999997
5,4,-6,-8,-1,-6,4,7,-3,10,-9,-3,-3,-7,8,7,10.309402034900279,-0.3824535797560053,-8.810489434291915,-4.11645902085235,201.00000000000037
9,10,-4,-2,1,-2,9,-8,-7,-1,-7,-2,-10,-6,-2,-6,13.071511885108896,0.7522519765033979,-11.3399728209144,-8.483791040697897,371.9999999999996
-5,-5,4,4,2,-6,3,10,-9,1,9,3,8,9,4,9,-11.662366658741872,-0.8611142844831117,3.530186410389473,15.993294532835508,404.99999999999955
-10,-1,10,-10,-5,-4,6,-2,-4,6,-8,5,-6,9,7,-10,2.534190842564655,-15.570577829377356,-7.567952596834554,-11.395660416352731,435.9999999999996
7,-1,-2,8,-10,-7,-8,-1,1,7,9,-5,10,-9,-1,-9,13.320808151046183,2.9865513923979092,-4.1119231397605605,-12.195436403683528,352.0000000000001
-6,9,3,2,3,-3,5,2,4,8,-10,-9,7,8,-3,-8,-18.736854128727764,-10.761235161363567,3.5948803287599955,-1.0967910386686528,480.99999999999966
0,-7,10,10,5,10,-7,-10,8,-9,-2,2,7,5,5,-1,-8.886343434170165,-3.242718614266111,2.1971309084306903,16.931931140005595,380.9999999999998
-2,-2,-3,1,-3,-8,2,8,-9,6,5,-7,7,3,-9,2,12.865134183141784,-13.380242017283377,-4.941777202922973,2.456885037064561,374.99999999999966
9,10,-9,-3,8,-2,-7,5,8,-1,-5,5,-1,2,-2,-4,8.094036010090315,-9.460632819617667,1.524820590196694,-2.158223780669349,162.0000000000002
1,0,-4,6,7,-4,9,-5,0,1,5,8,8,0,5,1,9.18586131180684,6.915935366662816,-9.62996084772777,-3.4718358307418975,237.00000000000028
8,-4,7,2,-6,7,5,4,-3,4,-10,6,4,3,3,-1,-10.14776506377878,-5.589287418237748,11.74030481067706,7.996747671339477,336.00000000000017
2,-6,1,2,-3,4,2,-10,-5,0,2,10,9,-10,0,0,15.258918335839116,-6.05317599626581,-3.4133483787054915,2.2076060391321763,286.0
-3,-8,-9,8,-3,-9,8,-10,2,9,6,-8,-2,-6,-5,-7,12.72540446830439,-16.536246096804184,-1.3237742117620117,-7.865384159738217,498.99999999999994
1,8,3,4,0,-5,3,-8,8,9,0,6,6,-8,3,-4,-16.098190242042747,-4.232060447066144,7.373511515288465,4.956739173820443,355.99999999999983
-4,-1,1,-8,1,8,4,-3,1,9,-5,-1,-9,2,-4,-3,10.348169932009846,4.944886855402357,-11.690110168967403,-7.6029466184448,325.9999999999999
6,2,-4,-2,1,-8,4,-4,-10,3,8,5,-1,-10,-6,-8,11.48502728500008,3.6647209328301833,-2.7607947845597227,-14.388953433270537,360.0000000000001
0,7,0,-7,7,8,2,-7,-1,-6,-8,5,-3,-4,8,3,16.810900260272852,-9.912159591865978,-2.4702519257345164,-1.4284887426723771,388.9999999999994
5,2,4,-9,9,-7,-10,-4,0,-1,-10,0,-1,3,3,-4,5.242689670054715,-1.584977751638384,-12.726202298238842,-6.931509620177503,239.99999999999997
-9,5,-6,-3,9,3,-1,-9,-8,7,10,-9,10,-2,-9,-4,16.92050874473274,3.1181526511773683,-13.117679660984336,-6.920981734925775,515.9999999999999
9,0,-7,10,0,-2,-4,5,-6,-5,8,-10,5,7,2,-10,17.4068262394418,-13.530431502630947,3.416498694992475,-2.2928934318033556,502.9999999999997
5,1,-1,-9,7,2,-5,1,-7,-10,0,-3,-9,-9,5,-10,14.487464033935277,-0.2680136547019104,-11.138244406953676,-6.081205972279691,370.9999999999999
10,4,1,-6,-4,4,-4,2,-8,2,-8,-9,-7,6,-5,0,-10.70894400453274,12.400122789587659,6.413078414413527,-2.1042571994684596,314.0000000000005
-10,-1,-5,2,-1,1,-5,-5,-10,1,-1,3,4,-7,-10,-3,-12.432128398803275,-6.499871990800585,0.26419216426524134,5.667808225338616,229.0000000000001
2,-10,8,4,-10,-1,-10,1,0,6,-7,-4,1,2,-6,-5,7.28386882112993,-11.553278335167004,-5.580762525730711,-1.1498279602322057,218.99999999999997
-9,10,-4,3,3,-1,-7,-8,3,-5,4,-3,-6,-8,-8,2,-12.6164030072109,-7.30815823837098,10.038499889923617,5.886061355658264,348.0
-10,10,-9,-7,6,-1,1,-9,-8,3,4,2,-2,-9,8,5,-17.663715736594604,16.386406320827582,-5.519721656111838,4.797031071878865,633.9999999999993
2,-4,10,7,-5,-2,-5,7,6,1,-8,-6,-4,-1,-1,8,-11.21162118723052,-2.589245395849504,7.326695776476647,6.47417080660337,228.0000000000002
7,3,-2,-6,-7,1,-10,2,-10,-8,-3,7,5,9,9,5,-12.073076935770157,2.8682599829454407,11.27593781249469,7.928879140330031,343.9999999999997
6,-8,4,3,-3,-7,-1,-9,3,-3,-1,7,4,-6,2,7,15.899171524691534,-10.501614387706205,2.0208401196806056,-2.418397256665931,373.0000000000001
10,2,1,-2,-8,0,-1,-10,6,2,3,-10,-9,-9,-4,-2,-11.963168296653382,2.0275480708707394,13.519166860893412,7.416453364889229,384.99999999999966
-7,-9,8,-6,-2,2,1,8,-2,-1,8,-1,1,3,-3,5,-7.7687770904708735,8.518895255597704,7.285141242071695,-0.0352594071985238,186.00000000000009
-8,-7,6,-8,-7,-9,3,-6,10,-9,4,0,-1,9,-10,8,11.09110049757588,-12.456264414345641,0.6547217113723253,-4.289557794602559,296.9999999999994
-8,-7,5,-7,9,9,2,10,6,5,6,-5,-8,9,-7,-3,-12.67160471256025,-7.349738052078518,10.806650936829051,13.214691827809727,505.99999999999943
3,-2,-2,10,-5,-3,0,-3,1,-1,-7,5,9,-5,-2,-6,10.28995744918932,-10.981298165385091,-4.313634173554125,-7.995025110250105,309.00000000000045
4,6,8,2,10,-1,6,-6,7,6,-7,-4,-6,-3,-3,0,15.477373811882757,-2.1204881908343745,-6.298979584426789,-11.057906036621594,405.99999999999994
2,-5,-5,-9,-6,0,0,3,2,-3,4,1,-8,10,-6,-5,12.585217102494028,3.029828065165979,-6.16020402469893,-8.454841142961083,276.99999999999994
1,6,7,3,0,-9,10,-10,0,-9,5,-8,9,-10,10,9,8.731793293610952,2.8035950435679413,-3.902458172169886,-1.6329301650090275,101.99999999999987
9,-9,-7,1,0,-7,0,-2,-1,-5,4,-1,10,-5,-10,10,15.174972408325303,-7.29548531432586,5.387799579749958,2.7327133262505945,319.9999999999999
9,10,-7,3,9,9,-3,0,4,8,-3,2,7,6,-5,4,16.137501262894684,-2.7118978035428722,1.868036995841575,3.706359544806615,285.0000000000001
7,-7,-2,3,-8,-10,0,-10,1,-2,-6,4,7,-2,2,2,13.469948853609742,-0.2428685500985776,-12.227080303511164,-8.0,395.0
4,4,-5,-3,-3,-10,2,10,2,0,-7,-4,1,2,1,5,6.065287207519721,1.5137732869395768,-10.194443819588816,-5.384616674870502,172.00000000000028
4,-4,1,-4,-1,9,-1,-6,7,-2,5,-4,-1,-6,-4,-6,-9.106722906784634,0.5459726838722806,9.444526182817205,11.116224040095155,295.99999999999983
-4,-1,-4,7,-2,7,6,0,-10,6,-7,-7,3,-2,2,5,-12.884541560163573,11.44889013257778,-0.8970388892290783,3.3326903168148765,309.0000000000002
-5,2,5,2,-9,8,8,8,7,-5,-9,8,-5,9,4,-5,10.560343904588256,-0.5237175809091414,-11.920995052222667,-9.115631271456456,336.99999999999983
-8,-9,8,-4,-6,-8,-9,-5,3,-4,-9,0,10,-8,-2,-3,5.365460082649035,-14.687041993191626,-13.017590783308929,-5.660827306148472,446.0000000000001
7,5,9,-6,9,-6,9,-1,6,2,6,7,2,6,4,1,17.032315087865953,-8.45086785136791,2.384536636563147,-2.9659838730611576,376.0000000000007
8,-3,-10,3,-5,3,-9,-2,1,-6,-9,8,-4,-4,-1,6,-10.58905760682067,0.14937209140737587,8.26105549661317,10.178630018800126,283.99999999999983
9,5,9,-3,-4,0,10,-5,4,8,3,4,-5,-1,3,5,-9.632958628865746,4.1518953441615185,13.27385034588242,9.207212938821819,370.99999999999994
9,8,-8,-1,1,7,3,-1,-1,7,-10,4,-3,-8,7,-2,11.79832557727686,6.842384837960137,-0.5083774268850261,-14.132332988351974,385.9999999999998
-10,-10,3,-5,-5,-7,1,7,-1,-8,-8,-3,-10,7,4,10,15.47541045725466,-12.38267322407186,-11.108831308477797,-6.983905924705008,564.9999999999993
9,6,0,2,9,-1,2,6,10,-10,9,5,5,10,-8,-9,-9.596863172501154,-4.192010372415757,14.42641646575084,7.36245707916608,371.9999999999999
4,0,9,-10,5,3,-4,-5,10,-7,-3,8,-8,-7,2,10,-13.383325320937864,18.491313403275388,10.421957515021509,-1.5299455973590355,632.0000000000001
-9,0,5,-1,4,-1,-9,-5,3,-9,-1,6,-3,5,3,-1,-14.60029476105624,-4.52138975017608,5.685604886889695,1.436079624342642,267.9999999999996
