a,b,c,d,e,f,g,h,i,eig1,eig2,eig3,sum_squared
3,-4,-9,-2,5,2,-2,9,-7,9.648516649315614,0.17616978559652022,-8.824686434912133,170.99999999999994
-1,-8,-6,-5,10,-3,-4,10,-1,12.227482743186279,-4.517161912521508,0.28967916933523224,169.99999999999997
6,3,8,2,1,-5,10,-7,8,16.549628561252046,5.052239869871749,-6.601868431123788,343.00000000000006
9,-1,7,-8,2,0,6,2,-5,11.65397752880526,-8.22148025155805,2.5675027227527907,209.99999999999997
-7,-4,-4,7,-8,-10,-7,-5,-2,2.8637570502143674,-7.5324542730857695,-12.331302777128595,216.99999999999997
3,1,9,-7,10,1,-1,-4,-8,10.601038915023988,-1.2301444293196138,-4.370894485704377,132.99999999999997
-10,-4,-5,4,7,0,9,4,5,-4.696673028165808,1.409451829087672,5.287221199078136,52.00000000000001
-1,-3,-2,-7,-6,10,-3,-2,4,-6.849977004856827,4.441598679230689,-0.5916216743738535,67.00000000000001
-9,-4,5,-8,2,-8,7,0,-3,-13.112732341466486,6.616588459637814,-3.5038561181713397,228.00000000000023
2,10,10,2,-9,-7,-5,-6,-8,1.3322676295501878e-15,-2.000000000000006,-13.0,173.00000000000003
-9,-9,-8,-3,4,-4,-5,-2,9,-13.08286628064182,6.204078898694227,10.878787381947596,327.9999999999999
-3,1,1,3,4,4,-2,8,9,-3.1128725118885985,0.3783980572842037,12.734474454604396,172.0
1,2,-8,1,-9,-9,-2,-10,-3,6.862487953253347,-1.8470354410388052,-16.015452512214548,307.0
-4,2,0,3,8,0,2,3,2,2.0,8.48074069840786,-4.48074069840786,96.0
4,6,4,9,7,7,-9,-7,-10,8.2884938330152,-1.677040927913757,-5.611452905101431,103.00000000000014
8,0,2,-1,3,7,8,-2,-4,9.082762530298226,-3.082762530298222,1.0000000000000024,93.00000000000011
-8,9,-5,10,-9,-5,-8,5,-3,-18.000000000000014,3.3588989435406766,-5.358898943540673,364.00000000000057
-9,6,-2,1,-8,0,-10,2,4,5.410940855753227,-11.8738357943996,-6.537105061353625,212.9999999999998
-6,10,6,-5,10,0,7,-7,-8,6.184011702261485,1.7600358916782366,-11.944047593939725,183.99999999999994
-6,-3,-9,5,9,1,-5,-10,-7,9.325795438636575,-10.551414621718969,-2.774380816917599,205.99999999999994
0,-1,8,7,-5,4,10,-1,-6,5.366194126409489,-12.442076137233418,-3.924117989176086,199.00000000000028
5,1,1,9,-5,-7,-5,0,-10,5.728416147400484,-6.9999999999999964,-8.728416147400479,157.99999999999997
4,0,8,7,6,8,10,3,7,16.740990901675794,-3.659009722521578,3.918018820845813,309.00000000000114
-8,-1,-1,10,5,1,-9,-2,-8,4.157907041230555,-10.302070861200502,-4.855836180030053,146.99999999999994
-8,-10,-7,-6,-10,4,-6,2,-3,4.9282032302755105,-17.00000000000002,-8.928203230275509,393.0000000000008
-3,6,-9,-1,5,-5,-9,-9,2,-10.035967744559207,0.7420315076175636,13.293936236941642,278.0000000000001
4,-9,-4,-8,-3,3,-4,10,-4,12.364261854211588,-5.9364566106742185,-9.42780524353737,277.0000000000001
-10,6,-2,10,2,10,8,10,8,16.400442216657307,-13.325562201715872,-3.074880014941434,456.00000000000017
1,3,-9,7,-9,0,-2,1,6,-11.209126050612532,0.8661481290270975,8.342977921585444,195.99999999999983
-7,-7,7,4,8,2,8,6,-5,-12.865459931328116,1.8654599313281204,6.999999999999997,217.99999999999994
10,0,2,-6,-10,1,0,6,-7,9.77905562355089,-11.89678580787371,-4.882269815677172,261.00000000000006
-10,-3,2,-7,-3,-8,-2,-9,-9,-15.0,-11.197402159170329,4.197402159170327,368.0000000000001
0,4,-2,6,1,-4,-1,-1,2,6.6925689202976155,-4.433946400152994,0.7413774798553802,65.0
7,3,-1,3,2,-8,-5,-3,1,11.000000000000007,1.561552812808831,-2.561552812808829,130.00000000000014
2,0,1,-10,6,5,0,2,7,0.9999999999999978,4.7639320225002155,9.236067977499792,109.00000000000009
6,9,7,1,-2,-6,-1,-7,-6,6.824149468196804,1.8528345676062266,-10.676984035803029,164.00000000000003
-8,1,2,2,-1,-7,-2,-9,8,12.443051729153854,-8.4263196599152,-5.016732069238666,250.99999999999977
0,-2,-2,-6,-10,6,-9,2,-2,5.119161405099201,-5.797213701079325,-11.321947704019875,188.0
-1,9,4,7,9,2,-3,-2,5,-4.9787692524853195,11.690660696311298,6.288108556174005,200.99999999999972
8,5,-4,3,3,-7,4,-8,-6,-9.893072780479555,9.707653651440978,5.18541912903859,219.00000000000017
-10,-8,4,-3,-7,-9,-1,-7,-8,-16.815126309634962,-9.694019145185264,1.5091454548201995,379.0000000000008
-9,6,10,9,2,-6,10,-2,-5,-20.090380330507866,5.72588811988574,2.36449221062215,441.9999999999988
8,4,-7,1,-5,8,-7,4,-2,-11.597105921909588,11.25655636112026,1.340549560789329,262.9999999999999
-6,2,7,-6,5,8,3,5,4,-8.353966605302052,1.1628409078909072,10.191125697411136,175.00000000000006
-7,-4,5,10,10,-3,6,5,-1,-6.555453135080997,7.473672829641371,1.08178030543963,100.0
6,-2,-9,-3,4,-4,-5,-10,4,-6.382572056677786,9.314316211730329,11.068255844947453,250.0
-4,6,-9,-2,-2,2,-5,-5,9,10.385550628228113,-6.1286693088776,-1.256881319350515,146.9999999999999
9,10,-8,6,6,1,5,4,2,12.529943066174312,3.237481025044312,1.2325759087813715,168.9999999999999
0,-1,9,-7,1,-9,8,-6,-3,12.04339638061519,-2.9999999999999996,-11.043396380615194,275.99999999999983
-4,3,-8,7,5,8,8,7,9,11.847617920258644,-2.6453059287493383,0.7976880084906964,148.0
-8,5,-9,-1,-5,0,-4,4,-5,-11.78632318885957,-0.12542129863104945,-6.088255512509382,175.99999999999997
9,-2,9,1,8,9,-8,4,-9,-5.924549167690163,3.966178590897643,9.958370576792529,150.00000000000017
-5,-2,-7,-9,-7,-10,8,-1,10,5.695679525058115,1.4411815586434296,-9.136861083701547,117.99999999999994
-2,8,6,0,-2,-1,7,9,2,-6.9506568282294,5.427773853131375,-0.47711702490197416,77.9999999999999
0,5,7,5,-1,7,-5,8,-7,-9.371989606462785,-4.47271787902921,5.8447074854919885,142.0000000000001
-4,0,-7,4,-10,-8,3,-5,7,-10.946405084528513,-4.166388615940511,8.112793700469014,203.00000000000006
2,3,9,4,5,2,6,-3,10,-3.6602540378443873,13.660254037844386,7.0,249.0
8,3,-1,4,8,-7,-9,-2,-1,13.858925141227482,2.3424245608355725,-1.2013497020630557,198.9999999999999
0,3,-4,4,8,4,-3,0,-2,-5.323830073807464,2.231006296133297,9.092823777674171,115.99999999999999
2,5,6,10,-4,6,-4,2,-6,5.545418764321408,-8.95320771716314,-4.592211047158261,131.99999999999994
5,-8,10,-7,-1,-6,10,-1,1,16.735584986682532,-6.882242507807675,-4.85334247887485,350.9999999999997
-10,-3,-10,-6,-5,10,-8,4,-6,6.278855421565144,-17.210701855941057,-10.068153565624087,436.99999999999994
6,-8,9,0,10,8,0,5,10,6.0,16.32455532033676,3.675444679663241,316.00000000000006
-8,-5,3,7,6,-7,4,0,-8,3.862050095244652,-5.05934763948214,-8.80270245576251,118.00000000000006
-8,5,-6,10,-1,8,-7,8,0,-17.907226982005632,1.567277096847979,7.33994988515764,377.00000000000045
-9,-1,0,9,5,8,0,3,-9,6.0000000000000036,-9.000000000000009,-10.000000000000002,217.00000000000023
-10,4,-3,1,7,4,6,3,3,-7.938338995947254,-1.4840021011113635,9.422341097058638,153.99999999999997
7,9,7,5,-10,0,4,1,-3,11.208571591293278,-12.496615096754141,-4.711956494539138,303.99999999999983
9,-5,-8,2,2,-9,-6,6,-5,6.477225575051633,4.000000000000025,-4.4772255750516585,77.9999999999998
-1,6,4,-3,4,10,3,9,-4,-10.225106024030145,-0.5785892620920311,9.803695286122178,201.0
10,1,6,6,-1,8,3,0,-9,11.455839596257675,-1.6569488625151936,-9.798890733742487,230.0
4,-6,9,-8,-6,-3,-3,-3,1,-8.779570358634508,5.5717909515003,2.207779407134198,113.00000000000011
-3,0,3,-3,-1,-4,6,-7,2,7.626763277828074,-3.9487440557893247,-5.678019222038752,105.9999999999999
8,2,3,-7,-4,-3,2,-5,-5,7.8836450566942755,-1.4932155798547102,-7.390429476839563,119.00000000000003
2,6,-3,7,2,3,-3,-3,4,-4.397519436208615,8.629045578099213,3.768473858109399,108.00000000000004
2,7,3,7,2,0,10,10,5,12.830951894845297,-4.999999999999996,1.1690481051547,190.99999999999986
6,-3,8,9,4,-2,9,-1,1,-4.578192353306109,9.32208611103407,6.256106242272043,147.00000000000006
10,9,-10,9,-2,4,-10,1,-8,17.290424479042983,-15.33706669108298,-1.9533577879600033,537.9999999999998
0,6,10,8,-9,-3,8,-4,6,-15.582032783960548,12.416637986204387,0.16539479775616495,396.99999999999983
8,-8,3,-3,-10,-1,7,5,-3,10.686030739808666,-5.033836945279689,-10.652193794528975,253.0000000000001
-10,1,-3,5,7,-7,-5,1,-2,-11.647637487443305,6.5824226532874235,0.06521483415588018,179.0
9,-3,-1,8,-8,-6,-8,5,6,7.066800989592191,4.385767559679413,-4.452568549271596,89.00000000000004
9,1,-7,5,5,-10,-9,-8,10,21.73698076801259,4.801866483443853,-2.538847251456472,501.9999999999987
9,4,3,10,-6,-5,6,0,5,-8.923431915126901,12.655228146834327,4.268203768292554,257.99999999999994
1,4,-7,7,10,-8,-3,-8,-3,16.95405078388702,-2.4187920114486845,-6.53525877243833,336.00000000000017
10,4,-9,9,1,-10,-3,-6,4,18.383493085215093,1.416562423454143,-4.800055508669252,362.9999999999995
-10,-10,-1,-1,10,4,6,-5,-8,-11.562305898749056,-5.0,8.56230589874906,232.00000000000014
2,5,-3,4,6,6,2,6,-5,10.415261994037472,0.10217624058857497,-7.517438234626052,164.9999999999999
6,5,3,2,-5,-8,3,3,4,-4.1852294840798505,6.503064143095052,2.6821653409847874,66.99999999999991
-3,4,2,6,10,-8,-5,-6,6,16.130470174665923,-2.9630924096258475,-0.16737776504010207,268.999999999999
6,3,3,2,-4,1,4,8,0,8.61352664269378,-1.3145545661213867,-5.298972076572387,104.00000000000003
-7,2,-5,3,-6,5,4,4,-7,-4.000000000000004,-6.999999999999977,-9.000000000000014,145.99999999999997
4,0,-2,-4,2,-9,-3,-4,1,-5.165736242945923,4.614433597592027,7.5513026453539,104.99999999999997
8,-4,-1,5,-8,-1,-5,7,7,-6.322447737969487,8.124584339815506,5.197863398153989,132.99999999999977
1,-7,-5,-1,7,4,-3,-2,-6,-6.708971732927871,0.4132548427667363,8.295716890161133,114.00000000000007
-1,9,-5,5,-8,-1,0,0,6,3.066372975210779,-12.066372975210777,6.0,191.0
4,9,-9,2,5,4,-1,3,-1,-4.999999999999995,8.791287847477918,4.20871215252208,119.9999999999999
2,-7,-4,-9,4,-3,-4,4,3,11.472135954999583,-5.000000000000002,2.52786404500042,163.0000000000001
2,0,-7,9,9,4,-7,-2,-4,9.989218578009025,4.780253193440912,-7.769471771449937,183.0000000000001
1,-6,9,-4,10,-1,3,3,-6,11.837427764702804,2.476203194956755,-9.313630959659559,232.9999999999999
9,-3,3,4,0,-10,10,-8,6,-5.797782091769974,4.781424853375343,16.016357238394622,312.9999999999999
8,3,-3,2,9,-8,-6,-2,-5,-6.615150361566414,5.246917955529824,13.36823240603657,249.99999999999983
2,9,4,10,2,0,8,-3,9,-8.77728339200833,13.957375986265712,7.819907405742626,333.0000000000004
-4,-7,1,-5,3,1,0,8,10,-7.653423728215278,5.7040372464082285,10.949386481807052,211.0
5,3,5,-4,-2,-7,0,-9,1,-7.000000000000003,2.1458980337503153,8.854101966249685,132.00000000000006
-6,1,-4,-2,10,1,-10,0,10,-8.12677984183274,11.824394624552651,10.302385217280086,311.99999999999983
4,-9,9,-4,10,1,7,-8,-4,-8.36128538770671,15.325579883154662,3.0357055045520522,314.0000000000002
4,-2,-3,9,-10,-7,3,-9,5,-11.490184026551212,1.6427531493892444,8.84743087716197,212.99999999999994
9,7,4,7,-9,-1,2,7,4,-10.428435431585843,12.922013259937977,1.5064221716478696,278.00000000000017
1,4,2,7,4,0,8,-8,-4,7.546176613612638,-7.889851479628873,1.3436748660162328,120.99999999999996
2,3,-3,1,10,-3,10,-2,-10,-7.693722612531563,-0.43624873030677247,10.129971342838342,161.9999999999998
-5,8,0,0,2,0,7,4,-10,-10.0,-5.0,2.0,129.0
2,0,3,-9,-3,-8,10,-8,-10,6.932969296153641,-2.17906087870024,-15.753908417453394,300.9999999999999
8,7,6,9,2,-8,-10,-7,2,12.281606709112305,4.282006016950795,-4.56361272606309,190.0000000000002
-4,-1,-1,9,7,9,-2,4,-7,8.523500339424185,-3.0267144984978342,-9.496785840926343,172.00000000000026
1,-6,-1,-2,9,-4,-9,-4,-3,-7.166925931886096,4.506228255338938,9.660697676547155,165.0
-4,10,3,8,-6,7,9,1,6,12.010570184304642,-12.67310176778451,-3.337468416520142,316.0
9,8,-1,6,2,2,-4,-1,-9,13.199150161822718,-1.7869675196661483,-9.41218264215657,265.9999999999999
-7,-5,7,-5,6,3,0,8,-9,7.98143811821441,-4.595802270046983,-13.385635848167434,264.00000000000006
1,-2,0,-1,10,-10,7,-7,-6,-8.980428046505478,-0.17308577222486732,14.153513818730348,280.9999999999998
-2,6,-8,5,-6,5,-8,9,4,-15.265387995456765,1.3017907429746374,9.96359725248214,333.99999999999966
-8,9,3,5,6,9,7,7,3,15.739282007307121,-9.677430514093635,-5.061851493213493,366.9999999999999
-8,4,2,-2,-9,-3,9,6,2,0.7872801282343822,-9.863549081815101,-5.923731046419279,132.99999999999991
-8,-6,5,7,6,0,6,5,-9,2.6636770703036525,-1.5140951733315318,-12.14958189697212,156.99999999999991
9,5,8,-2,-6,-3,-2,-6,-1,-6.9194548373361595,7.137675089593085,1.781779747743081,101.99999999999983
-9,-2,0,-7,-9,-5,3,-10,7,-13.934905974393203,-6.914419087273276,9.849325061666486,338.9999999999999
-4,-3,-5,-10,-7,3,6,9,7,-8.98944673296943,-3.6184819337049943,8.607928666674438,167.99999999999977
-10,8,-10,10,10,5,1,-3,5,-12.0551016345233,13.230543412373523,3.824558222149779,335.0000000000003
-1,8,1,5,-2,4,6,3,7,10.818434177988646,-7.263822102270339,0.4453879242816891,169.99999999999991
-6,5,0,10,-5,-2,2,-3,3,-12.855654600401042,0.8556546004010438,4.000000000000001,181.99999999999997
-2,3,6,-7,7,9,4,0,1,-3.150164207196681,2.548544050863429,6.601620156333256,60.0
-2,2,4,4,-6,8,9,3,6,11.16515138991169,-5.999999999999998,-7.165151389911683,212.00000000000026
-10,1,6,-8,0,6,-8,-3,9,-4.828427124746187,0.8284271247461727,3.0000000000000133,33.00000000000002
-7,10,-4,3,3,-7,5,-10,6,-10.163445452732883,-0.11221277089696047,12.275658223629842,254.00000000000006
1,-10,2,3,-9,1,10,5,-7,-1.1743846875771284,-3.44531567914548,-10.380299633277392,121.00000000000007
-3,-9,-1,-2,4,2,6,5,-9,-10.04085779268818,-3.832334467040998,5.873192259729173,150.00000000000003
10,1,7,-4,9,-4,-2,-10,-5,-5.566542612251235,6.0691894244576,13.497353187793639,249.9999999999999
-5,1,1,-1,-5,6,8,7,-5,-11.536640154881514,-5.849234004073293,2.385874158954801,173.00000000000014
7,4,-10,-6,-9,9,-8,8,7,17.300448170849844,-0.670991452753794,-11.629456718096058,434.9999999999999
-9,-7,-10,4,2,-3,-7,-1,8,-10.988705504546825,10.810150790863014,1.1785547136838024,239.00000000000028
7,5,-6,2,8,-8,-3,1,-9,-9.26827623426998,11.605216438087608,3.663059796182375,234.00000000000017
-7,0,1,-6,10,5,2,2,6,-7.2135058603633135,4.534187531166107,11.679318329197216,209.00000000000009
1,1,-6,5,-10,-2,1,-6,9,-10.238768089713764,0.28453957954113596,9.954228510172634,204.0
4,-1,5,1,9,-6,-9,-1,-10,-6.47865556206726,0.8596005692350622,8.619054992832199,116.99999999999994
2,4,-7,5,1,-7,-8,6,7,10.274917217635373,-2.9999999999999973,2.7250827823646255,121.99999999999996
7,6,1,10,-7,1,10,9,4,-10.584126116474497,12.470282204813882,2.1138439116606107,272.0
-1,-2,2,-4,-6,-1,-1,-5,8,-7.191833393982769,-0.24715049428075264,8.438983888263515,123.00000000000011
7,-10,2,3,-10,0,6,-7,1,6.845452836145148,-8.16563688520095,-0.679815950944189,114.00000000000007
-5,8,10,2,6,-2,6,-9,8,-10.455529396273622,7.042332423900075,12.41319697237355,313.0
8,-4,-1,-1,9,-2,6,4,-9,-7.943363597774072,5.160316174484548,10.783047423289531,206.00000000000006
-10,-1,4,-4,7,5,3,7,-4,-12.848466106151385,-3.587857272682933,9.436323378834322,266.99999999999994
-2,-2,3,-3,8,-8,7,-6,3,14.257758098538256,-4.853100698767492,-0.40465739977076226,226.99999999999997
-5,-7,4,-10,-4,1,-1,-6,1,-11.175538049758757,5.591849964724467,-2.416311914965704,162.0
7,-6,7,-8,-8,-1,8,-8,1,14.888219621126197,-5.784083490038504,-9.104136131087698,337.99999999999955
5,6,-4,2,-9,-7,-1,-4,6,-11.140497754957948,3.443511828433336,9.696985926524619,229.9999999999999
2,-4,2,-9,-5,-2,9,-9,7,12.208578400978043,0.3262995721613424,-8.534877973139384,222.00000000000009
-6,8,-1,4,-1,5,1,7,-10,4.502792233219923,-7.789992294776214,-13.712799938443705,269.0000000000001
10,-4,-5,3,-9,-7,0,4,7,-6.461837578655345,8.585961598867941,5.8758759797874,149.99999999999983
-5,-1,7,1,-7,10,6,4,-5,3.3913194001556883,-5.63517730856789,-14.75614209158781,261.0000000000002
3,0,-3,-3,-10,10,-4,-5,10,8.976271657783341,1.1693054311782343,-7.145577088961577,133.0
-3,8,10,9,-3,3,7,5,-2,11.4641833062077,-12.483935147276567,-6.980248158931131,336.0
2,8,6,0,-3,-6,-1,-4,-1,3.539823876658513,0.5561084036139793,-6.095932280272495,50.00000000000002
9,-8,-5,-5,10,-9,7,-9,1,18.620603364689188,2.467585096414387,-1.088188461103585,353.9999999999997
6,8,4,5,4,-9,0,-10,4,-7.777514336976917,6.991308939871376,14.786205397105546,328.00000000000006
8,-7,0,-6,-8,2,-1,0,7,-10.256154017654307,10.488705803838394,6.767448213815917,261.00000000000006
-9,-4,-2,-1,7,-4,-4,-8,1,-10.559853162391024,-0.778585132631377,10.3384382950224,219.0
7,5,-2,7,-9,10,-7,1,-4,-13.81289630575449,8.526146265537742,-0.7132499597832492,264.00000000000006
0,3,-8,8,7,-1,-5,2,-1,-8.112417570744105,9.130879399271885,4.981538171472221,174.00000000000017
-2,1,1,4,-9,7,2,3,-6,0.03472730460904927,-4.650334634885721,-12.384392669723328,175.0
-1,1,-1,0,-9,-6,-4,-5,-8,0.29777366932454186,-4.326694894530494,-13.97107877479405,214.00000000000006
9,3,1,10,7,0,-3,-9,4,12.266281297335418,0.7337187026646018,6.999999999999997,200.00000000000045
-10,0,7,7,10,5,2,-4,-10,8.24039261739436,-14.303822842931927,-3.936569774462426,287.9999999999998
-5,-1,7,-2,-3,-1,6,-5,3,7.488540458545865,-8.107055832657437,-4.381484625888438,141.00000000000003
1,-6,-8,0,-7,-6,-10,7,1,7.024006039920432,-7.651359376451967,-4.372646663468461,127.0
0,3,-8,5,4,-1,-2,0,5,-3.698313259733478,8.434690040258195,4.2636232194752814,103.00000000000001
