a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,eig1,eig2,eig3,eig4,eig5,sum_squared
10,1,-3,-1,3,-6,7,8,4,-5,0,10,0,9,9,10,7,7,-1,-9,-2,3,8,-1,-7,-17.15801954959199,7.317205547140781,0.059561516073651684,2.15565568125891,16.625596805118636,629.0000000000006
-8,6,-9,4,3,7,5,9,-7,9,-5,-5,0,6,-8,2,-8,5,4,0,7,4,-6,5,5,-15.578393178813943,15.850678132766747,-6.515988830718883,6.6951825344143545,5.5485213423517274,611.9999999999995
-1,-8,10,-8,-6,5,6,-5,9,9,5,-9,9,4,7,-10,8,1,-3,-5,1,-4,7,3,-3,16.078412697843945,8.43565047094571,2.931549391124928,-12.43062278981221,-7.014989770102367,542.0000000000005
8,7,4,-9,3,10,-1,5,-4,-3,-1,4,-3,2,1,-3,4,1,0,8,3,7,2,-7,6,10.071507393884286,-6.4060763021367295,-1.4937521035500372,4.4861416888792665,3.342179322923231,175.9999999999999
3,-7,-1,-8,-4,-1,2,-7,7,0,-7,3,7,-3,-1,-6,-4,1,-8,-7,-1,-7,4,-1,10,-8.404862196132427,11.012695518096015,7.852719455591544,1.4960607517858349,2.0433864706590525,260.00000000000045
3,-3,7,8,1,1,7,-1,-4,7,1,3,4,5,-9,7,1,5,2,9,6,7,-8,-1,-10,-17.306435052580593,-3.003913207765254,13.105715700311594,5.4791807871068,7.725451772927475,569.9999999999991
5,8,-9,6,3,5,-6,-1,6,2,5,-2,-7,5,0,-4,6,2,-7,3,-1,-1,-1,1,-9,3.5491502607019694,-12.49737105980818,-8.935136138611966,-1.231311674952616,-4.8853313873292,273.99999999999994
10,2,4,-1,-10,-5,-2,-1,4,-2,3,0,-4,-9,3,-5,-6,-6,8,8,-5,-1,3,6,-8,16.06114947381853,-14.744520042334164,6.676766071472954,-4.45492854883806,0.46153304588073735,539.9999999999998
7,-2,10,9,-2,-9,8,5,-8,5,10,2,-8,-1,7,-5,-5,7,-5,-5,2,3,10,-4,2,-13.306042306791344,-8.794351298591456,-1.549994245001261,13.1417588262353,14.508629024148759,640.0000000000006
-6,-6,7,-5,10,7,-1,4,0,8,2,9,-8,5,-4,1,4,-3,6,-10,10,-3,3,-1,8,11.701335203134548,4.169429835245669,1.3024935325341442,-10.476675394026485,-7.696583176887889,324.99999999999955
-9,6,2,0,5,9,-4,-8,5,8,9,5,-9,3,9,-1,8,0,7,0,-2,8,9,-1,-8,-20.652793143800487,10.156309214507187,3.9609220704689303,-11.702359788057088,-4.7620783531185245,704.9999999999993
7,5,-5,-1,-9,-4,10,6,-8,9,1,-9,-4,6,8,1,-2,3,-9,10,-7,8,10,5,6,-15.26996663408811,18.237432695668037,-6.959309804087559,5.007665215516119,8.984178526991517,720.0000000000005
-2,6,-8,2,1,5,-7,7,-8,6,-10,8,-7,6,-4,-9,1,-6,5,-3,-3,2,3,0,-5,-16.066399183265233,5.845631658447062,3.554045579269263,-3.0063486614516264,-6.326929392999449,354.00000000000006
-10,0,-6,-9,2,6,6,7,10,-2,-5,9,-8,-3,-8,-10,9,2,10,-6,5,10,5,1,2,-19.87914181767335,16.825097002785117,6.395166773219252,-2.463065052402116,-0.8780569059289377,725.9999999999997
10,-4,-5,-5,-3,-6,4,-4,-8,-1,-8,3,-8,-10,-10,8,-7,-9,0,1,2,5,5,8,9,-10.73907858307244,-4.901855089945674,13.498488800678134,7.452495512133473,9.689949360206498,471.00000000000034
-6,6,3,1,2,10,3,-6,-6,7,3,7,9,-10,-4,6,-8,-1,-4,1,4,10,5,-3,-5,-15.408346968792294,-7.5090860155089025,10.816762360465127,6.391940594877283,2.7087300289587914,459.0000000000004
-1,4,-7,1,-1,-9,-7,9,-5,3,-8,4,-10,8,-10,2,-3,7,-8,7,9,-2,-5,9,-9,-25.258416352393567,4.72988172032854,-1.622049356575484,-5.1102057711473705,-7.739210240212112,748.9999999999997
10,8,-5,10,-3,9,-7,9,-2,-6,-5,8,1,-6,-6,7,-5,-2,0,3,-9,3,8,-1,-6,17.023421507305315,-16.8855887847495,-6.048383323184918,3.5126557536295833,0.39789484699952166,624.0000000000006
10,-5,6,3,2,-3,-1,-2,-6,-7,-5,-5,2,-7,-3,-6,-9,-2,0,9,9,0,-4,3,-5,13.225630595734376,-9.43176581843324,-5.0308729173241815,6.670361141678202,0.5666469983448585,334.0000000000006
5,10,-2,8,6,-1,8,-3,8,-6,-9,4,6,-1,10,10,-9,-2,-9,7,1,4,10,9,-5,-14.765134356148845,-5.517850984637987,14.330739061717397,2.3778819753840903,8.57436430368535,533.0000000000003
0,-6,4,-7,-4,-1,-7,9,-6,-6,0,8,-6,10,-3,-4,-3,2,-6,7,-2,-9,5,3,6,-18.83937774655114,12.459753238010467,3.3057231817698765,-2.6564422850333616,-7.269656388195852,580.9999999999994
-8,-7,4,-9,-6,-4,6,-3,-2,-1,0,-10,4,-3,8,1,-5,-1,-6,-4,-4,-2,4,-5,5,-13.200393927300409,8.079891163377441,13.641902410570507,-5.001210051061019,-2.52018959558655,457.0000000000003
-2,-8,-9,-2,2,-5,-7,3,0,-9,-8,-6,-4,0,1,0,8,2,-7,3,1,-9,-3,8,2,-17.45909555301198,-10.295236917917368,9.030553130043591,3.9238597133449145,-3.200080372459194,518.0000000000014
9,0,-4,-10,5,5,6,4,10,-2,-6,9,-3,10,-10,-4,0,9,10,2,2,-4,0,7,-10,21.52643795288276,8.828386418987176,-0.0073110195520858295,-3.6802884756510332,-14.667224876666825,769.9999999999994
3,-8,-7,-5,5,2,1,1,-9,2,-8,2,-9,8,-2,9,-10,2,-9,4,8,5,0,4,-5,8.62194818396287,4.232806445018997,-17.137567846545686,-2.8446519858301635,-11.872534796606013,534.9999999999995
-1,-9,-8,-5,5,-5,2,-7,4,-5,-10,-2,1,0,2,-10,8,10,-7,-6,6,-6,8,-8,0,17.48678884646264,8.231821004969387,-13.886659857871479,-12.71439019777551,-4.117559795785037,744.9999999999999
8,-1,9,6,6,8,-7,0,6,-1,6,1,-1,-1,-5,6,8,-9,-7,7,10,-7,-5,3,-4,-15.786342173895012,-14.28661535116046,14.796008143159947,1.2395815948049944,3.037367787090527,683.0
0,10,-5,7,-7,1,-2,4,-2,-5,0,-4,3,5,4,9,-2,8,1,0,-3,-8,8,-8,-8,-14.177737452651122,-9.392988056356897,11.557146266545987,-0.536820022748343,6.5503992652103795,465.99999999999966
-10,10,4,-8,-10,-5,8,-7,1,-9,6,-5,1,4,6,-10,3,-9,-7,9,-9,3,7,-3,9,-14.571183457817405,15.846590140863917,-8.194622997884299,4.686709920603524,3.232506394234252,563.0000000000001
-4,4,6,5,6,5,7,6,-7,-9,6,6,-9,-9,4,5,0,-9,-3,10,1,3,3,1,-9,-20.571056066887717,10.25504516915981,4.713255304038076,-8.015912889247437,-4.381331517062737,633.9999999999995
10,-8,-1,8,3,7,-8,9,3,0,-1,3,-10,5,-5,7,5,8,5,-6,1,-5,-9,5,10,13.962082784508153,12.15679139501404,2.273042315573647,-13.36980381729276,-8.022112677803078,590.9999999999995
3,8,0,10,-5,8,3,-3,-9,7,-7,-8,-9,-7,7,0,-2,-3,10,-3,-6,2,-4,10,-6,-13.05284842343683,-6.551173751767701,-1.444303478930365,12.154411891276542,9.893913762858336,461.0
1,-1,9,6,-8,-4,-8,6,-3,10,8,3,-6,8,2,7,0,1,-3,1,-10,7,-9,1,8,18.190394949676687,5.497713239929119,-6.43525304074772,-10.807244732707344,-14.445610416150737,728.0000000000011
9,4,1,2,-7,-1,-8,-6,-7,8,4,-4,-8,5,4,7,-8,3,-10,-4,-9,-1,5,1,7,-17.195118068999832,-14.007581550959042,14.107852008254504,2.5687374201997457,4.526110191504629,717.9999999999999
10,8,4,-5,9,-5,-6,-9,9,-9,-6,-8,-5,0,-6,7,3,-1,-8,5,5,0,-7,0,-3,-15.950383324271769,10.666161853669621,-5.9143998048309925,1.1021469792118328,-1.9035257037787159,408.0000000000008
-4,10,-10,6,9,9,7,-6,-5,-1,8,-1,-5,-1,-1,10,1,-7,2,-1,5,8,-5,-2,3,-12.689064878434255,-4.211330856405138,1.7236105950576694,9.293004930814911,8.883780208966835,346.9999999999999
4,-10,1,-6,3,5,8,5,-4,-8,-3,10,10,3,9,-8,0,3,-9,-7,10,-6,8,-1,10,-11.823277317030175,-4.287970565512621,4.878091776713261,19.861860738615025,14.371295367214529,782.9999999999992
10,8,-9,6,4,9,7,1,-8,6,3,-5,-7,10,-3,9,-8,-3,2,8,4,-4,-8,8,-1,17.53984884093954,-13.987921052515993,9.786475203409116,-4.100293961408106,1.7618909695754772,619.0000000000011
5,6,-2,-3,9,-6,-6,2,5,0,4,6,4,1,-7,-7,10,5,4,-3,10,9,-3,0,10,-8.459943482478774,-5.294112521656784,2.9043976454937996,15.817508213338494,12.032150145303282,503.0000000000007
4,-3,-7,10,4,0,-10,-9,-3,5,-10,-8,7,5,10,9,9,2,9,-7,-7,-9,2,2,9,19.31580771191045,-10.32495257077967,11.70465847743214,-2.4063641297701635,0.7108505112072615,623.000000000001
3,-8,-3,-5,1,-9,-8,3,6,-8,-7,4,-4,8,3,5,2,9,6,6,-1,-4,9,6,1,-15.747565815358785,-10.000000000000005,15.967005741125242,5.987938376722942,1.7926216975105886,642.0000000000002
7,-7,1,5,7,-1,-7,-9,4,-2,4,-6,8,-8,6,2,-8,-7,7,-8,3,5,1,0,-9,14.671150688665653,8.818589674533166,3.3113548238134136,-9.043719976614895,-11.75737521039736,523.9999999999997
-10,10,-4,-2,-9,10,8,-5,-6,2,-1,-10,7,10,3,1,-5,3,6,-4,-8,6,-1,-8,5,-17.885571988641217,21.522234001655264,11.581780951477345,-1.4059814146303204,2.1875384501389354,923.999999999999
6,1,-9,10,-7,-8,-9,8,-6,6,5,5,1,-7,6,8,-9,-6,-10,3,-2,6,1,9,1,-19.605122892846104,-10.887335108842928,13.429382623757574,0.866320447020112,5.196754930911338,711.0000000000006
8,-5,1,4,4,-8,-7,-6,-5,-5,6,-3,8,9,10,2,4,6,10,6,-9,-8,-2,-5,-10,16.272965035614686,7.354791842989594,3.35041479822847,-10.611589791405725,-7.366581885427007,497.0000000000001
-9,-7,9,7,4,-3,-1,-9,-2,5,1,-6,-4,4,2,-3,8,8,-6,10,7,10,6,-4,3,6.587196635832175,5.520632478201215,-5.98977664808621,-8.092626204239942,-15.025426261707242,401.00000000000034
-8,-8,5,-9,-7,-2,-4,-8,2,3,-2,-10,1,-10,-2,-4,-8,-7,-4,4,-10,-5,-6,0,6,15.304648646490605,-17.54436241574914,-8.311134013826017,2.6037515718826474,-1.052903788798111,619.0000000000002
0,-6,-7,2,-5,-9,-5,-1,-7,5,-1,-10,2,3,1,2,-10,3,-3,3,-10,6,5,1,9,-15.299285523502137,-7.55192665105467,1.2736732812187983,14.319817657985874,10.257721235352113,603.0000000000002
-4,-6,-7,-10,4,-2,-5,3,-9,1,-5,2,-7,5,0,-5,-6,-10,8,-4,7,-1,-1,6,-4,-15.204658570858898,9.446307102773444,3.4153502832331877,-7.2046527326599135,-2.4523460824877965,389.9999999999992
-4,3,-10,10,10,1,-8,7,0,9,-4,-1,8,2,3,4,-5,-4,2,5,4,7,-8,5,-10,11.869113860735123,3.577163906161786,1.4155035424188211,-11.282623345694494,-17.57915796362124,591.9999999999999
3,8,-9,1,0,5,0,-8,-1,-6,2,-5,9,-8,-2,10,-4,-4,-9,-3,7,-10,-1,-5,7,-15.165978904968494,15.619253130919814,10.669979547887397,0.31948105588494113,-1.4427348297236535,590.0000000000001
2,4,4,-2,7,3,3,-7,3,-1,0,-10,3,-3,-5,0,3,-4,-4,10,8,-1,-2,7,6,15.953708823406963,10.053917357720984,2.557170259667346,-12.407535606262016,-6.157260834533245,554.0000000000005
7,0,6,-10,-9,-4,-1,3,1,6,3,8,-1,1,-4,-3,2,-5,-3,-6,-2,0,2,-10,-4,-14.247663404276928,-5.291382619757215,8.904774145095475,2.523392719986276,6.110879158952396,354.0000000000001
8,2,-10,-9,-10,1,-1,-9,-10,-6,-9,-7,3,-2,-5,1,1,-2,4,-1,-9,7,-4,-2,9,-9.401604278611261,-3.1444768596593584,17.92311959968579,5.965474849797178,11.657486688787662,590.9999999999999
6,9,-5,4,2,2,1,3,-2,-1,-6,10,-6,10,9,-5,1,6,5,7,-5,-1,9,10,-2,15.419421863438412,9.058640423289557,-15.720319156609163,2.0784801625426015,-6.836223292661397,618.0000000000006
2,2,-9,-4,-4,9,-10,3,-5,2,-10,10,9,10,10,-8,4,7,-1,4,-3,-6,-2,-10,8,13.381893834846014,11.096493667499487,4.527593610837562,-14.15456696353249,-6.851414149650559,570.0000000000005
10,-6,9,7,10,-1,-10,6,-3,9,6,7,-6,-4,-6,-1,-5,-4,-8,-1,10,-5,-9,-9,-5,14.294692600582202,-20.68823934476599,1.300366625229903,-0.5398406025258411,-13.366979278520251,813.0000000000001
-1,-2,6,-5,3,-8,7,-4,-2,4,8,5,8,8,6,-5,-10,8,4,-8,6,-5,-7,-3,-7,-10.238697362899373,-5.507943510630764,15.026891595748832,8.630064343337182,3.08968493444413,444.99999999999983
5,-5,6,2,7,1,-6,9,5,-8,5,0,3,2,0,3,-1,7,-4,7,10,-9,-3,4,-5,11.151346318164526,8.773081998589971,-16.529491302102294,-4.095409737839238,-6.299527276812969,530.9999999999994
4,0,-4,6,8,-3,6,5,3,7,-2,7,9,5,6,6,5,8,0,-5,8,-4,-2,1,-9,-12.869972800627087,15.990424833929472,9.36791962104367,-3.221077196236953,0.7327055418909117,519.9999999999998
5,-3,-2,4,7,-8,6,-10,-4,-1,4,2,-6,-4,3,3,-2,-5,8,4,5,1,10,-8,-8,12.05177025121391,8.218659260938521,0.46676838837236523,-4.39290461991488,-11.34429328060992,360.99999999999966
-1,-7,-5,-2,7,-9,-5,0,2,-5,1,8,7,8,1,9,2,9,-7,-5,2,-1,-8,-2,4,-12.358702307115504,-6.499792861566957,4.290480789901071,-1.5143725115370297,14.082386890318421,414.0000000000001
5,-5,5,-4,3,-8,-10,6,9,-7,-4,-4,-7,-4,-3,-2,4,-7,7,1,-5,-7,-7,7,-10,12.575271385780692,4.869315342507823,-15.958257652761938,-5.942424747611809,-10.543904327914776,583.0000000000009
2,1,-1,-8,4,-6,8,8,10,2,-3,-3,-5,-2,3,-6,5,3,-1,6,5,9,6,5,-1,14.847833153482023,-12.116927701586333,4.4752964177883126,-1.4521137577200578,-2.7540881119639304,397.0
10,-2,5,5,6,1,-4,-9,-8,-5,8,-3,-7,-4,-7,7,-4,-10,-6,-1,3,-10,1,8,-9,14.958592113299261,-20.183102411151896,2.6393155658450307,-5.304118592238164,-8.11068667575425,732.0000000000003
-2,-10,-5,-10,9,-3,2,8,9,-7,-4,7,-1,4,2,9,7,1,4,-3,0,-8,3,-3,10,16.628859233539576,-9.968808233713332,-2.754617946328209,2.5273318663878017,6.567235080114158,432.9999999999998
-4,7,7,-5,-6,-5,-9,-9,-10,7,-1,-4,-9,8,-1,1,1,4,7,-10,-5,-2,-5,-5,-5,11.209224039812625,-3.664521484819593,-5.331233363662402,-10.162429883811772,-12.051039307518854,415.99999999999983
0,-8,-3,-6,4,-1,3,-6,7,1,-8,-3,3,-10,-7,-3,10,2,5,5,-2,8,-3,8,-10,17.568744187678423,3.9474254343686694,-3.1768786534369458,-5.811412071662827,-11.527878896947318,501.0000000000001
-4,9,1,10,-5,9,6,0,-3,0,2,-2,8,9,-6,-1,2,-6,-8,6,-1,6,-5,3,-2,-12.109949652582818,10.548544284997774,-5.063329963847055,5.603269611543991,1.0214657198880912,316.00000000000017
9,8,-9,-3,7,7,-9,4,6,4,9,4,2,7,10,4,7,8,7,4,-1,10,10,5,-2,19.577506953734456,8.543701152490328,-0.24409249843529177,-11.978011098918445,-8.899104508871027,679.0
1,2,8,5,0,7,7,-10,-7,-2,-8,-3,-2,7,-6,-6,-6,5,-6,-6,1,-4,-8,-3,10,-8.534537415168366,-5.411276116423782,-0.08284566163085963,11.244697481497026,12.783961711726006,392.0000000000003
1,-3,-10,2,8,2,-8,-10,3,10,-10,-6,-6,0,8,1,-3,-1,7,-2,0,-6,2,2,-7,-14.21092304476823,-8.234840145968851,-4.706428561281287,8.64840921797096,5.503782534047418,396.9999999999997
-5,7,-5,8,1,7,-8,0,-7,2,-10,9,-5,10,3,10,-2,-2,-4,4,-1,-2,4,10,-2,-21.305731797781608,5.47781019883655,3.684042368210109,-7.689227606683742,-4.166893162581365,574.0000000000019
10,-2,0,-10,-2,-3,4,-3,9,-4,3,7,-8,4,9,-5,4,3,0,-3,-3,-6,5,-4,-10,16.08993423163823,-17.40028234022605,5.127552921701747,-3.043141144559646,-4.774063668554274,620.0000000000001
7,-5,6,1,1,-10,-9,10,7,3,-1,3,-8,10,2,8,-6,8,-6,2,4,-5,1,5,7,-18.38038453465998,11.361215316264905,-5.956865826287622,4.300545693502989,-0.32451064882026265,520.9999999999983
-2,3,6,6,7,0,9,8,6,3,5,9,5,0,-10,5,-5,4,-10,-4,-3,10,-1,-4,-3,15.72856688174625,5.186149998288117,-12.151207548739238,-8.3023635235857,-1.4611458077094723,492.9999999999996
-7,-4,7,0,-10,-7,5,-10,-10,10,6,-9,-8,6,-9,-9,-3,-4,8,10,8,0,0,10,8,-15.10274571917887,-5.396377343050466,1.779523844920562,6.356043056860834,18.36355616044796,638.0
-3,2,-8,-4,2,7,1,-8,-1,-6,-2,-10,-6,-10,-9,-1,-7,-8,-1,4,10,-5,-10,-1,-9,-21.50360591281646,-13.226216707204353,11.76644620026132,-0.15415277874187464,5.117529198501381,801.9999999999989
5,8,1,-4,9,-2,-9,-3,-1,-10,7,-3,2,-4,3,-4,6,7,-9,-8,8,-8,1,-7,-7,10.59730505109933,4.145905008182764,-2.108107406706705,-18.694659794485155,-11.940442858090245,626.0
8,10,-4,-4,-5,8,0,-10,-5,2,7,-9,6,6,-9,-10,1,1,-6,5,5,2,-4,1,3,18.433107131871814,-10.231709417975223,-6.998221103165143,7.085728656348729,2.7110947329198187,550.9999999999995
-2,-6,-9,-1,2,4,10,3,0,3,-4,3,-8,-1,10,-5,-5,9,-8,5,0,9,6,1,-8,10.757474609730483,4.565226082957969,-15.762768228553295,-5.790639780580598,-9.769292683554557,514.0000000000001
-9,6,-10,-10,-5,6,-9,6,5,-4,-7,2,9,-7,-6,5,-2,0,1,3,4,-6,-1,7,-3,13.9982313988519,-12.877575537491774,-6.653903352186815,-4.969493946242354,-0.49725856293095266,431.00000000000017
-3,-10,6,-3,2,-9,6,-4,5,6,-7,-1,-2,-1,8,-5,1,0,4,9,3,1,8,10,1,-13.504429346379379,16.284174855334456,8.152238544147552,-5.279780458436771,0.3477964053341289,541.9999999999986
0,-2,-2,1,-4,-8,-7,4,-5,-10,-9,9,8,-3,2,-4,-9,1,-7,-1,-5,-9,-5,0,9,-16.999618461848833,14.838609135243601,11.240474046595972,-1.4585225937041193,-4.620942126286613,658.9999999999997
-6,7,-4,-1,0,6,-3,-4,3,0,-3,-10,-5,3,-6,5,2,5,3,-9,7,-9,-8,-2,7,13.962051562238688,6.7756061051764025,-3.958971924032776,-12.33894908506942,-8.439736658312864,480.0000000000008
-6,2,-5,6,-3,-4,3,-8,7,10,4,4,8,8,2,3,8,8,6,1,5,8,10,2,-1,18.620582458871436,-9.394329915187079,5.34939564394704,-3.2717352719776533,-1.3039129156537326,476.00000000000034
3,-6,9,3,10,-10,0,-6,-8,-1,-2,4,-5,-5,-3,-9,-7,-9,-2,-6,8,8,-2,-6,5,13.790209251701729,7.691900584895365,0.653936098209202,-11.53522069452645,-9.600825240279837,475.0000000000003
-10,-7,-5,0,6,-10,3,6,6,-2,-1,7,-2,2,0,-9,-7,0,-2,1,10,6,-9,3,9,-14.800040695654596,13.835871198639369,4.628490667649117,-1.8167122707609467,-3.84760889987295,450.0000000000005
-6,10,6,6,-3,4,1,6,-1,1,9,6,9,1,-3,7,4,-2,10,3,-3,3,0,2,-4,-13.313886795678844,17.581120262909163,-3.478851159233596,-0.9220873656262396,10.133705057629523,602.0000000000013
9,-8,-7,1,-10,-3,-2,-8,-5,9,-2,-9,-8,3,2,3,3,6,4,1,-4,-2,1,6,8,-13.989859900503284,-0.6479207265244177,0.6437429939968536,14.956556888331889,10.037480744698938,520.9999999999998
9,-2,-4,-8,-4,4,0,-1,-10,-2,-8,-5,7,-7,8,-5,-10,-7,-10,6,-7,10,-4,-3,-8,13.177813354040449,8.307233536227782,2.3892466823109846,-7.329693151541301,-18.544600421037934,646.0000000000002
3,-3,9,-1,-2,-4,-1,-1,-3,6,9,-5,9,8,2,-6,-7,10,1,4,-9,4,8,-3,4,18.999999999999986,-8.856501288835776,-7.891052680929471,9.500186361944962,4.24736760782027,609.9999999999994
-10,1,5,-3,-10,10,-9,1,3,9,6,-4,10,-9,10,2,2,-5,1,5,-8,1,5,-2,2,-19.406844990455735,-7.1595114686172785,-1.450422716490269,6.907002361616982,15.109776813946272,706.0000000000011
7,-8,10,3,6,-1,5,9,8,1,3,0,-10,-1,0,-7,7,0,-3,-4,6,-5,-1,1,10,16.25862922175799,-12.16279379479607,-4.242407030667538,2.239242157235879,6.907329446469754,483.00000000000057
-10,-8,-7,-3,7,-3,-9,1,8,-3,-2,10,9,4,8,4,8,-2,9,7,5,2,4,9,8,-15.703303991198274,-11.575780403883796,17.506357943415246,10.760474327580544,6.0122521240863165,839.0000000000022
8,-3,4,-6,2,3,4,-9,8,-9,-6,-6,-9,6,-4,-1,4,7,-3,-7,0,-4,5,-8,9,-15.927841706875302,15.795008918098883,8.330543885152748,3.8725819547064306,-3.0702930510827677,597.0000000000005
5,-4,-10,5,9,-9,-6,-9,6,-4,1,-2,0,8,4,1,4,6,0,6,10,1,-1,10,-5,10.354701943510104,9.427037912836768,2.760682137345257,-13.580265501691263,-14.962156492000865,612.0000000000005
3,-5,-6,2,2,-9,6,9,7,-5,-10,9,4,0,4,9,-1,0,-4,8,-3,-9,-7,9,3,20.220702564351868,-10.646625557776805,-7.548537953000565,2.067710716237814,7.9067502301877,646.0000000000003
-8,-2,-2,9,-2,-7,-7,-9,4,4,6,-1,-7,2,-5,9,5,9,-9,5,-8,8,-4,-7,4,7.612012045432065,3.7717907717317805,-9.026781744763548,-15.142587687222482,-14.214433385177825,585.0000000000002
-10,1,-9,-2,8,-10,1,3,2,-1,-10,10,10,-2,4,5,1,7,-7,4,5,2,8,1,-1,16.697008804132896,3.229866593483403,-13.767080069801695,-8.777084342331777,-4.382710985482851,575.0000000000003
7,-3,-9,5,-5,-2,7,-2,9,-8,-7,-3,-4,6,7,4,7,4,-3,10,-6,8,7,1,8,-13.619833864474115,-2.135865305161648,2.716875764208932,16.307312706234853,11.731510699191997,601.0
8,0,-5,1,2,6,-10,-5,6,-1,-4,5,-4,2,-7,4,10,5,-2,-7,5,-1,-1,-2,8,13.235670094737536,7.1054677146931535,0.4808485166382703,-8.497803010270191,-12.324183315798782,449.99999999999966
-8,-7,-10,5,-1,3,-8,-9,-4,-1,-7,-4,-3,5,2,-9,-1,8,7,5,-1,8,2,3,1,-15.781258250524123,9.175448073735065,-6.439815050570346,-0.02588455554955672,2.071509782908955,379.00000000000006
6,8,-3,3,-8,-3,6,-7,-9,4,-3,-6,-8,-1,7,0,-4,-4,-6,10,-5,-4,10,10,0,13.52795882407116,6.334312436459999,4.658274218519697,-6.278094316446516,-20.242451162604304,694.0000000000002
-9,5,-5,-2,-1,10,0,7,-4,-3,-3,2,-9,2,-7,-7,9,9,5,8,-7,-2,-4,4,9,-17.28279825940921,-7.97102533715323,12.512460682163505,2.499818785098513,6.241544129300404,564.0
-5,4,-5,3,10,3,9,6,0,7,0,9,-2,9,-3,7,6,1,-6,8,4,7,-7,3,3,16.41395431982224,-14.075418076015412,-9.628930879569056,7.3263375542183375,-1.0359429184561286,615.0000000000003
-6,-3,10,10,3,-2,-10,5,7,5,1,1,3,-3,-6,10,-5,2,9,9,3,6,-1,2,0,-14.466954303182535,13.141620655598022,-8.735519234156001,7.233328689116533,-1.1724758073760218,512.0
-9,-10,4,3,0,-8,-9,1,8,-9,3,6,-2,4,-10,-6,-4,-1,10,-8,7,-9,-2,0,5,-17.295885343212444,14.205464307597751,-7.691947309712334,1.4466792844569394,4.335689060870093,581.0000000000009
-6,-2,4,6,-10,-6,10,-5,-4,0,7,-2,3,-1,6,-5,-4,-6,-8,6,-4,-10,4,-5,6,-12.792987869510727,13.555973519460542,-2.869579990911938,0.7170397401252442,6.389554600836885,397.00000000000085
8,-2,-10,2,4,-6,5,8,-2,8,-6,-1,-10,-3,1,-5,-9,-4,-8,-6,9,6,-10,9,-3,12.651249653495153,5.5584694032017445,-13.34799422010391,-9.444860387154907,-3.4168644494380893,470.00000000000034
